ALA	200	0	1304
ARE	200	0	1304
ASM	200	0	1304
AIA	200	0	1304
ARG	200	244	37200
ALB	200	68	11322
ABW	200	77	12649
ARM	200	0	1304
AGO	200	0	1304
ANT	200	0	1304
AND	200	0	1304
AFG	200	0	1304
BES	200	0	1304
ATF	200	0	1304
AZE	200	0	1304
AUS	200	244	37200
ATG	200	0	1304
BFA	200	0	1304
BEN	200	0	1304
BDI	200	0	1304
AUT	200	244	37200
BGD	200	244	37200
BGR	200	244	37200
BEL	200	244	37200
BIH	200	0	1304
BLM	200	0	1304
BLR	200	244	37200
BHR	200	83	13531
BHS	200	244	37200
BLZ	200	0	1304
BOL	200	13	3239
BMU	200	244	37200
BRB	200	0	1304
BRN	200	0	1304
BTN	200	0	1304
BRA	200	100	16026
BVT	200	0	1304
CAN	200	116	18380
BWA	200	0	1304
CHE	200	218	33376
CAF	200	0	1304
CCK	200	0	1304
CIV	200	0	1304
CMR	200	0	1304
CHN	200	244	37200
CHL	200	244	37200
COD	200	0	1304
COG	200	0	1304
COK	200	0	1304
CSK	200	0	1304
COM	200	0	1304
COL	200	244	37200
CUW	200	0	1304
CUB	200	0	1304
CWX	200	0	1304
CXR	200	0	1304
CRI	200	244	37200
CPV	200	0	1304
CYM	200	244	37200
DDR	200	0	1304
CZE	200	235	35877
CYP	200	244	37200
DMA	200	0	1304
DJI	200	0	1304
DEU	200	244	37200
DZA	200	0	1304
EGY	200	40	7206
ECU	200	0	1304
DOM	200	0	1304
ESH	200	0	1304
ERI	200	0	1304
DNK	200	244	37200
ETH	200	0	1304
EST	200	244	37200
ESP	200	244	37200
FIN	200	132	20732
FJI	200	0	1304
FLK	200	0	1304
FSM	200	0	1304
FRA	200	157	24407
GEO	200	0	1304
GAB	200	0	1304
FRO	200	0	1304
GGY	200	244	37200
GBR	200	244	37200
GIB	200	51	8825
GHA	200	0	1304
GIN	200	0	1304
GMB	200	0	1304
GNB	200	0	1304
GNQ	200	0	1304
GRL	200	0	1304
GUF	200	0	1304
GRD	200	0	1304
GLP	200	0	1304
GTM	200	0	1304
GRC	200	83	13527
GUY	200	0	1304
GUM	200	0	1304
HKG	200	244	37200
HMD	200	0	1304
HRV	200	0	1304
HND	200	244	37200
HTI	200	0	1304
IOT	200	0	1304
IDN	200	56	9558
IMN	200	0	1304
ISL	200	75	12353
IRN	200	0	1304
IND	200	244	37200
HUN	200	244	37200
IRL	200	244	37200
ISR	200	68	11322
JAM	200	0	1304
ITA	200	244	37200
JOR	200	0	1304
JEY	200	245	37347
JPN	200	244	37200
KEN	200	0	1304
KIR	200	0	1304
KGZ	200	0	1304
KAZ	200	244	37200
KNA	200	0	1304
KHM	200	0	1304
KOS	200	244	37200
KOR	200	244	37200
KWT	200	51	8823
IRQ	200	0	1304
LAO	200	0	1304
LBR	200	0	1304
LBN	200	78	12792
LCA	200	0	1304
LBY	200	0	1304
LIE	200	0	1304
LKA	200	0	1304
LSO	200	0	1304
LUX	200	244	37200
LTU	200	244	37200
LVA	200	113	17939
MAC	200	76	12500
MAF	200	0	1304
MCO	200	0	1304
MAR	200	0	1304
MDV	200	0	1304
MDG	200	0	1304
MDA	200	0	1304
MHL	200	0	1304
MEX	200	53	9119
MMR	200	0	1304
MKD	200	244	37200
MLI	200	0	1304
MLT	200	177	27351
