naics_code,industry_classification,total,equity,debt_long_term,debt_short_term
"21"," Mining, quarrying, and oil and gas extraction","281","196","85","*"
"2111"," Oil and gas extraction","178","128","51","*"
"2122"," Metal ore mining","29","19","10","*"
"213111-213112"," Oil and gas well drilling and support","54","35","19","*"
"213114"," Support activities for metal mining","1","1","1","0"
""," Other","18","14","4","*"
"22-23"," Utilities and construction","316","194","122","1"
"2211"," Electric power generation and distribution","210","121","88","*"
"2212"," Natural gas distribution","61","44","17","*"
"2213"," Water, sewage, and other systems","8","6","1","0"
"23"," Construction","37","23","14","0"
"31"," Consumer goods manufacturing","436","280","155","1"
"311"," Food manufacturing","122","77","45","1"
"3121"," Beverage manufacturing","161","90","71","*"
"3122"," Tobacco product manufacturing","87","53","33","0"
""," Other","65","60","5","*"
"325"," Chemical manufacturing","703","536","166","1"
"3254"," Pharmaceutical and medicine manufacturing","522","407","114","1"
""," Other","181","128","52","1"
"326-333"," Other primary and machinery manufacturing","267","186","81","*"
"331"," Primary metal manufacturing","29","19","10","0"
"333"," Machinery manufacturing","174","126","48","*"
""," Other","64","41","23","*"
"334-335"," Computer and electronic product manufacturing","897","739","157","1"
"3341"," Computer and peripheral equipment manufacturing","347","272","75","*"
"3342"," Communications equipment manufacturing","54","39","15","*"
"3344"," Semiconductor and other electronic component mfg.","289","256","33","*"
"3345"," Navigational, measuring, electromed., control instr. mfg.","158","131","27","*"
"335"," Electrical equipment, appliance, and component mfg.","43","37","6","0"
""," Other","5","4","1","0"
"336-339"," All other manufacturing","475","323","149","2"
"3361"," Motor vehicle manufacturing","149","49","98","2"
"3363"," Motor vehicle parts manufacturing","35","31","4","*"
"3364"," Aircraft manufacturing","94","73","22","*"
"3365-3369"," Rail, ship, and other transportation manufacturing","12","9","3","*"
"3391"," Medical equipment and supplies manufacturing","164","145","19","*"
""," Other","20","16","4","*"
"42"," Wholesale trade","165","114","50","1"
"423"," Merchant wholesalers, durable goods","68","42","25","1"
"424-425"," Merchant wholesalers, nondurable goods","97","72","25","1"
"44-45"," Retail trade","573","463","109","*"
"445"," Food and beverage stores","16","11","6","0"
"448"," Clothing and clothing accessories stores","54","48","6","0"
""," Other","502","405","97","*"
"48-49"," Transportation and cargo","210","140","70","*"
"481"," Air transportation","24","20","3","0"
"482"," Rail transportation","66","52","14","0"
"483"," Water transportation","3","2","1","0"
"486"," Pipeline transportation","55","22","33","*"
"488"," Support activities for transportation","15","13","3","0"
""," Other","47","31","16","*"
"511-515"," Publishing and broadcasting","762","614","148","0"
"511"," Publishing industries (except internet)","496","420","75","0"
"512"," Motion picture and sound recording industries","75","57","18","0"
"515"," Broadcasting (except internet)","192","137","55","0"
"517-519"," Telecommunications and information services","658","471","187","*"
"5171"," Wired telecommunications carriers","29","6","23","*"
"5172"," Wireless telecommunications carriers (except satellite)","28","10","18","*"
"5179"," Other telecommunications","214","90","124","*"
"519"," Other information services","323","318","5","0"
""," Other","64","47","17","0"
"5221"," Depository credit intermediation (banking)","912","403","455","54"
"5222-5239"," Other financial","2,301","555","1,726","20"
"522292"," Real estate credit","978","1","976","*"
"52239"," Other credit intermed","395","*","385","9"
"5231"," Inv. banking","235","60","173","2"
""," Other","693","493","191","8"
"524"," Insurance","425","320","104","1"
"525"," Funds, trusts, and other financial vehicles","1,695","1,644","41","10"
"53-81"," Services","1,341","762","505","74"
"531"," Real estate rental and leasing","79","37","42","0"
"5413"," Architectural, engineering, and related services","8","6","2","0"
"5415"," Computer systems design and related services","181","149","31","0"
"5416"," Management, scientific, and technical consulting services","34","31","3","0"
"5511"," Offices of bank and other holding companies","12","7","4","*"
"561"," Administrative and support services","104","79","23","2"
"61-62"," Education, health care, and social services","546","203","271","72"
"71"," Arts, entertainment, and recreation","32","24","8","0"
"72"," Accommodation and food services","142","105","38","*"
""," Other","203","120","82","1"
"92","Government$^{2}$","6,226","*","5,492","734"
""," Industry classification unknown","543","24","443","76"
""," All other industries","195","158","35","3"
""," Total","19,400","8,139","10,282","980"
