"Table A1.  Value of foreign holdings of U.S. securities, by country and type of security, as"
"of June 29, 2018"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Malawi",87,5,82,81,0,1,0
"Malaysia",42170,14148,27836,13298,12710,1828,186
"Maldives",11,1,10,10,0,0,0
"Mali",1,1,0,0,0,0,0
"Malta",1854,816,994,174,3,816,44
"Marshall Islands",1074,843,194,34,1,159,37
"Martinique",2,1,"*",0,0,"*",0
"Mauritania",133,2,131,130,0,"*","*"
"Mauritius",3313,787,2032,692,13,1328,493
"Mexico",116619,58256,49007,32949,12743,3315,9356
"Moldova",975,12,963,963,0,0,0
"Monaco",1646,1357,141,121,"*",20,148
"Mongolia",502,"*",261,261,0,0,240
"Montenegro (1)",2,1,"*",0,0,"*","*"
"Montserrat",19,16,3,2,0,1,0
"Morocco",2690,311,2379,2374,"*",5,0
"Mozambique",297,6,291,283,0,8,0
"Namibia",595,562,33,33,0,"*",0
"Nauru",5,5,0,0,0,0,0
"Nepal",751,9,592,591,0,"*",150
"Netherlands",412528,280081,123125,40747,11996,70382,9322
"New Caledonia",2,1,1,0,0,1,0
"New Zealand",31657,23268,7917,5017,752,2148,472
"Nicaragua",502,224,125,73,15,37,154
"Niger",1,1,0,0,0,0,0
"Nigeria",3968,95,3848,3278,444,125,25
"Niue","*","*",0,0,0,0,0
"Norway",370148,276620,92524,49031,15,43478,1005
"Oman",22544,10244,12287,11657,107,523,13
"Pakistan",3109,62,1326,1204,"*",122,1720
"Palau",188,136,53,16,7,29,"*"
"Panama",23385,12178,9477,1014,1165,7298,1729
"Papua New Guinea",92,2,40,40,0,0,50
"Paraguay",476,160,310,232,6,72,5
"Peru",32255,11558,19819,17476,878,1465,878
"Philippines",36171,3247,32309,31156,54,1099,615
"Pitcairn Island","*","*",0,0,0,0,0
"Poland",43201,2232,40866,40497,0,370,103
"Portugal",7184,4222,2782,2071,4,707,180
"Qatar",10513,3177,2047,1127,301,619,5289
"Reunion",90,90,0,0,0,0,0
"Romania",7851,112,7739,7681,"*",58,"*"
"Russia",15384,468,9184,9103,1,80,5732
"Rwanda",181,"*",180,180,0,"*",0
"Saint Kitts and Nevis",4165,2427,1539,642,92,805,199
"Saint Lucia",485,227,238,10,1,226,21
"Saint Martin & Saint Barthelemy (1)",16,14,3,"*",0,3,"*"
"Saint Vincent and the Grenadines",83,79,5,1,"*",4,0
"Samoa",274,256,16,0,1,15,2
"San Marino",1,1,0,0,0,0,0
