                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and
Type of Treasury Security, as of June 30, 2020
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Romania                                                6670            4895            4895               *               0            1775
  Russia                                                 5869            2869              17               *            2851            3000
  Rwanda                                                  316             316             316               0               0               0
  Saint Kitts and Nevis                                   343             235             229               5               *             108
  Saint Lucia                                             205             198             198               *               0               7
  Saint Martin & Saint Barthelemy (1)                       *               *               *               0               0               0
  Saint Vincent and the Grenadines                        127             126             126               0               0               1
  Saudi Arabia                                         124573           89480           84225            5198              57           35094
  Serbia and Montenegro (1)                              1718            1688            1688               0               0              30
  Seychelles                                              159             159             158               1               0               *
  Sierra Leone                                             90               0               0               0               0              90
  Singapore                                            149996          139141           89663           49167             311           10855
  Sint Maarten (1)                                          9               9               7               0               2               0
  Slovakia                                                315             146             146               0               0             169
  Slovenia                                                446             358             358               0               0              88
  Solomon Islands                                           5               5               5               0               0               0
  South Africa                                          12227            8629            4929            3701               0            3597
  Spain                                                 43879           40956           35709            5247               *            2923
  Sri Lanka                                              2505            2505            2505               0               0               0
  Sudan                                                     *               0               0               0               0               *
  Suriname                                                 31              22              22               0               0               9
  Swaziland                                                48              48              47               1               0               0
  Sweden                                                38331           37786           33524            4262               1             544
  Switzerland                                          247770          214442          181496           32232             714           33328
  Taiwan                                               204614          200014          188726           11248              40            4601
  Tajikistan                                               53              53              52               1               0               0
  Tanzania                                               1849            1842            1842               0               0               7
  Thailand                                              85520           74008           68672            5326              10           11512
  Trinidad and Tobago                                    2666            2011            1944              67               0             655
  Tunisia                                                 302             300             300               0               0               2
  Turkey                                                 2569            2067            2067               0               0             502
  Turks and Caicos Islands                                121              94              89               5               0              27
  Uganda                                                 1028             474             474               0               0             554
  Ukraine                                                5674            5664            5664               0               0              10
  United Arab Emirates                                  26122           15303            9701            4017            1585           10819
  United Kingdom                                       443759          369792          306011           45080           18701           73967
  Uruguay                                                9426            3869            3809              60               *            5557
  Vanuatu                                                  20               7               7               0               0              13
  Venezuela                                               140              73              67               6               *              67
  Vietnam                                               30335           30335           30335               *               0               0
  Yemen                                                     *               *               *               *               0               0
  Zambia                                                  140             140             137               3               0               0
  Zimbabwe                                                  *               *               *               0               0               0
  International and regional organizations              69694           45257           42907            2316              34           24437
  Country Unknown                                          63              54              54               0               0               9

  Total                                               7045416         6005340         5274141          636817           94383         1040075

  of which: Holdings of foreign official
  institutions                                        4144734         3762958         3301662          433144           28152          381776

  Totals by Region:
  Total Africa                                          59157           38101           33718            4378               5           21056
  Total Asia                                          3785202         3483409         3101979          361068           20361          301793
  Total Caribbean                                      357641          196116          145445           45432            5239          161525
  Total Europe                                        2171177         1727409         1489645          176192           61573          443768
  Total Latin America                                  423555          374715          331985           37047            5684           48840
  Canada                                               127437          101795           92384            8615             796           25643
  Australia/Oceania                                     51489           38485           36024            1770             691           13004
  Country Unknown                                          63              54              54               0               0               9
  International and regional organizations              69694           45257           42907            2316              34           24437


* Greater than zero but less than $500,000.
n.a. Not available.

** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less.

1. Separate reporting for certain country groups began with the 2014 survey.
    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.
    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.
    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.




