naics_code,industry_classification,total,equity,debt_long_term,debt_short_term
"21"," Mining, quarrying, and oil and gas extraction","183","95","87","1"
"2111"," Oil and gas extraction","99","42","57","0"
"2122"," Metal ore mining","41","31","11","0"
"213111-213112"," Oil and gas well drilling and support","31","14","17","*"
"213114"," Support activities for metal mining","1","*","*","1"
""," Other","11","8","3","0"
"22-23"," Utilities and construction","379","206","173","1"
"2211"," Electric power generation and distribution","273","139","134","1"
"2212"," Natural gas distribution","54","32","21","*"
"2213"," Water, sewage, and other systems","14","11","3","0"
"23"," Construction","39","24","15","0"
"31"," Consumer goods manufacturing","468","273","194","*"
"311"," Food manufacturing","134","77","57","*"
"3121"," Beverage manufacturing","175","93","81","*"
"3122"," Tobacco product manufacturing","86","42","44","0"
""," Other","73","62","12","*"
"325"," Chemical manufacturing","888","665","216","7"
"3254"," Pharmaceutical and medicine manufacturing","637","478","158","2"
""," Other","250","187","58","5"
"326-333"," Other primary and machinery manufacturing","243","161","82","*"
"331"," Primary metal manufacturing","22","12","10","0"
"333"," Machinery manufacturing","157","111","46","*"
""," Other","64","37","27","*"
"334-335"," Computer and electronic product manufacturing","1,182","986","196","1"
"3341"," Computer and peripheral equipment manufacturing","475","401","74","*"
"3342"," Communications equipment manufacturing","35","14","20","*"
"3344"," Semiconductor and other electronic component mfg.","371","317","53","*"
"3345"," Navigational, measuring, electromed., control instr. mfg.","233","198","35","*"
"335"," Electrical equipment, appliance, and component mfg.","54","43","11","*"
""," Other","14","13","1","0"
"336-339"," All other manufacturing","489","339","149","1"
"3361"," Motor vehicle manufacturing","133","64","69","*"
"3363"," Motor vehicle parts manufacturing","25","15","10","0"
"3364"," Aircraft manufacturing","102","65","37","*"
"3365-3369"," Rail, ship, and other transportation manufacturing","10","7","3","*"
"3391"," Medical equipment and supplies manufacturing","196","168","27","0"
""," Other","24","20","4","*"
"42"," Wholesale trade","140","84","54","2"
"423"," Merchant wholesalers, durable goods","72","42","29","*"
"424-425"," Merchant wholesalers, nondurable goods","67","42","24","1"
"44-45"," Retail trade","773","635","137","*"
"445"," Food and beverage stores","19","13","6","0"
"448"," Clothing and clothing accessories stores","46","40","6","0"
""," Other","709","583","125","*"
"48-49"," Transportation and cargo","235","132","103","*"
"481"," Air transportation","22","11","11","0"
"482"," Rail transportation","74","51","24","0"
"483"," Water transportation","3","2","1","0"
"486"," Pipeline transportation","54","14","40","*"
"488"," Support activities for transportation","15","11","4","0"
""," Other","67","43","24","*"
"511-515"," Publishing and broadcasting","1,116","921","196","*"
"511"," Publishing industries (except internet)","818","727","90","0"
"512"," Motion picture and sound recording industries","77","51","26","0"
"515"," Broadcasting (except internet)","227","144","83","*"
"517-519"," Telecommunications and information services","887","625","260","1"
"5171"," Wired telecommunications carriers","30","6","24","0"
"5172"," Wireless telecommunications carriers (except satellite)","44","23","21","0"
"5179"," Other telecommunications","277","99","178","*"
"519"," Other information services","428","420","8","0"
""," Other","107","78","28","1"
"5221"," Depository credit intermediation (banking)","544","58","415","71"
"5222-5239"," Other financial","2,678","741","1,907","30"
"522292"," Real estate credit","1,181","1","1,173","7"
"52239"," Other credit intermed","348","1","347","*"
"5231"," Inv. banking","197","40","152","5"
""," Other","951","700","234","17"
"524"," Insurance","465","300","165","*"
"525"," Funds, trusts, and other financial vehicles","2,013","1,954","57","2"
"53-81"," Services","1,359","839","509","10"
"531"," Real estate rental and leasing","88","27","61","1"
"5413"," Architectural, engineering, and related services","10","8","2","0"
"5415"," Computer systems design and related services","210","161","49","0"
"5416"," Management, scientific, and technical consulting services","55","52","2","*"
"5511"," Offices of bank and other holding companies","372","207","163","1"
"561"," Administrative and support services","115","72","37","6"
"61-62"," Education, health care, and social services","116","63","54","*"
"71"," Arts, entertainment, and recreation","24","15","8","*"
"72"," Accommodation and food services","163","112","51","*"
""," Other","206","123","83","1"
"92","Government$^{2}$","7,091","*","6,050","1,041"
""," Industry classification unknown","629","43","530","56"
""," All other industries","192","110","78","4"
""," Total","21,954","9,168","11,559","1,228"
