"Table A3.  Value of foreign holdings of U.S. Treasury debt securities, by country and"
"type of Treasury security, as of June 30, 2017"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"Countries and Regions","Total","Total","Nominal","TIPS","FRN","ST debt**"
"Afghanistan",1168,1168,1168,0,0,0
"Albania",467,467,466,1,0,0
"Algeria",679,0,0,0,0,679
"Andorra",526,521,505,16,0,5
"Anguilla",1068,8,8,0,0,1060
"Antigua and Barbuda",3,2,2,0,"*","*"
"Argentina",1303,965,891,74,1,338
"Armenia",614,614,614,0,0,0
"Aruba",34,34,33,"*",0,0
"Australia",38028,30477,26746,2953,777,7551
"Austria",4382,4125,3849,259,17,257
"Azerbaijan",541,541,538,2,0,0
"Bahamas",8111,5811,5719,66,25,2300
"Bahrain",568,403,361,41,0,165
"Bangladesh",998,0,0,0,0,998
"Barbados",2070,1399,1382,17,0,671
"Belarus",142,142,142,0,0,0
"Belgium",97793,84726,77723,6322,681,13066
"Belize",60,51,50,1,0,9
"Bermuda",60754,46259,43563,2067,629,14495
"Bhutan",46,46,46,0,0,0
"Bolivia",482,431,390,"*",41,51
"Bonaire, Sint Eustatius & Saba (1)",2,2,2,0,0,0
"Botswana",1391,1369,1300,66,4,21
"Brazil",269634,252210,233833,13467,4910,17423
"British Virgin Islands",30671,22495,20209,2215,71,8176
"Brunei",377,235,138,97,0,142
"Bulgaria",11,11,11,0,0,0
"Burkina Faso",28,0,0,0,0,28
"Burma",222,222,222,0,0,0
"Cambodia",2061,2048,2047,1,0,13
"Canada",76668,67282,56232,9676,1374,9386
"Cape Verde",9,0,0,0,0,9
"Cayman Islands",248907,158039,97829,52050,8160,90868
"Chile",27212,21072,19358,1552,162,6140
"China, mainland (2)",1146426,1144081,949314,194733,34,2345
"Colombia",28486,28235,27502,733,"*",250
"Cook Islands",1,1,"*",0,"*",0
"Costa Rica",1688,1633,1632,1,0,56
"Croatia",1274,1088,1077,0,11,185
"Curacao (1)",1312,780,779,1,"*",532
"Cyprus",115,91,91,"*",0,23
"Czech Republic",20631,20631,20621,10,0,0
"Denmark",18453,17213,16108,1105,0,1241
"Dominica",1,"*","*",0,0,"*"
"Dominican Republic",1081,1070,749,"*",320,11
"East Timor",7919,7899,7899,0,0,20
"Ecuador",200,196,196,"*","*",3
"Egypt",7929,2119,2119,0,0,5810
"El Salvador",1001,645,639,5,0,357
"Estonia",73,65,65,"*",0,8
"Falkland Islands",2,2,2,1,0,0
"Federated States of Micronesia",19,19,19,0,0,0
"Finland",9963,9640,9045,596,0,322
"France",71486,56729,42913,13332,483,14757
"French Polynesia",3,1,1,0,0,3
"Georgia",69,69,69,0,0,0
"Germany",68359,63993,56764,7037,192,4366
"Ghana",1249,1204,1193,12,0,45
"Gibraltar",692,23,21,1,0,669
"Greece",1829,1266,1258,7,0,563
"Grenada","*","*","*",0,0,0
"Guatemala",3227,3182,3182,"*","*",45
"Guernsey",5935,4705,4476,229,0,1230
"Guyana",15,11,11,0,0,4
"Haiti",224,106,99,7,0,118
"Holy See (Vatican)",11,11,11,0,0,0
"Honduras",836,790,790,"*",0,46
"Hong Kong",200698,137470,100078,6967,30424,63228
"Hungary",851,565,555,9,0,286
"Iceland",2275,2249,2248,2,0,25
"India",130277,114189,114189,"*",0,16088
"Indonesia",27639,25356,25352,4,0,2284
"Iraq",16011,5985,5985,0,0,10026
"Ireland",304018,259606,223580,23730,12296,44412
"Isle of Man",851,719,716,4,0,132
"Israel",30934,29587,26970,2600,18,1347
"Italy",36083,33794,32159,1463,171,2289
"Jamaica",129,117,117,"*",0,12
"Japan",1090024,1033911,993259,39477,1176,56113
"Jersey",4330,2097,1306,603,189,2233
"Jordan",497,497,497,0,0,0
"Kazakhstan",21944,6929,6790,139,0,15015
"Kenya",896,896,896,"*",0,0
"Korea, South",96656,90356,73881,9869,6606,6300
"Kuwait",31742,28484,19543,8625,316,3258
"Latvia",340,257,255,2,0,83
"Lebanon","*","*","*",0,0,0
"Lesotho",101,83,83,0,0,18
"Liberia",199,192,192,0,0,7
"Libya",498,498,498,0,0,0
"Liechtenstein",43,43,42,1,0,"*"
"Lithuania",235,218,188,29,0,18
"Luxembourg",211846,173695,138308,23672,11714,38151
"Macau",1135,1124,1013,111,0,12
"Macedonia",190,190,190,0,0,0
"Madagascar",97,97,97,0,0,0
"Malawi",1,1,1,0,0,0
"Malaysia",14332,14272,12252,2020,"*",60
"Malta",171,168,168,"*",0,3
"Marshall Islands",32,4,4,"*",0,28
"Mauritania",122,122,122,0,0,0
"Mauritius",1970,1535,1505,30,0,435
"Mexico",32244,27806,12318,4488,11000,4439
"Moldova",664,664,664,0,0,0
"Monaco",259,198,183,12,3,61
"Mongolia",152,152,152,0,0,0
"Montserrat",2,2,2,0,0,0
"Morocco",1581,1581,1581,1,0,0
"Mozambique",339,339,339,"*",0,0
"Namibia",46,46,46,0,0,0
"Nepal",850,700,700,0,0,150
"Netherlands",52904,45021,32124,12827,69,7883
"New Zealand",4511,4174,3927,206,41,337
"Nicaragua",246,145,145,0,0,101
"Nigeria",2138,2018,1436,582,0,120
"Norway",53690,53438,48187,5252,0,252
"Oman",15521,15521,15455,66,0,0
"Pakistan",3628,1282,1232,34,15,2346
"Palau",11,11,11,"*",0,0
"Panama",1340,736,685,51,"*",604
"Papua New Guinea",21,21,21,0,0,0
"Paraguay",9,6,4,2,0,2
"Peru",13359,13358,13042,317,0,1
"Philippines",37944,37433,36989,443,0,511
"Poland",34077,34077,34077,"*",0,0
"Portugal",4137,4047,4006,42,0,90
"Qatar",3059,505,481,24,0,2554
"Romania",3250,3250,3250,0,0,0
"Russia",102873,96749,96699,50,0,6124
"Rwanda",188,188,188,0,0,0
"Saint Kitts and Nevis",571,522,492,1,29,49
"Saint Lucia",2,2,2,"*",0,0
"Saint Vincent and the Grenadines",1,1,1,"*",0,0
"Samoa","*","*","*",0,0,0
"Saudi Arabia",141521,100433,88946,11237,250,41088
"Serbia and Montenegro (1)",1733,1504,1434,0,70,230
"Seychelles",5,5,4,"*",0,0
"Singapore",105995,102246,66920,33920,1406,3749
"Sint Maarten (1)",1,"*","*",0,0,1
"Slovakia",259,226,226,"*",0,33
"Slovenia",647,383,383,0,0,263
"South Africa",10052,9862,9099,716,47,189
"Spain",36636,35684,34293,1371,19,952
"Sri Lanka",1010,1010,1010,0,0,0
"Suriname",47,3,3,0,0,44
"Swaziland",57,57,57,"*",0,0
"Sweden",40907,40633,38085,2548,0,274
"Switzerland",244514,213546,190001,22332,1214,30968
"Taiwan",185912,182593,168438,14090,65,3318
"Tanzania",1682,1682,1682,0,0,0
"Thailand",66064,53705,50490,3215,0,12360
"Trinidad and Tobago",3185,2857,2743,114,0,327
"Tunisia",217,217,217,0,0,0
"Turkey",58672,22886,22886,"*",0,35786
"Turks and Caicos Islands",39,34,28,6,0,6
"Uganda",951,433,430,3,0,518
"Ukraine",2194,2194,2194,0,0,0
"United Arab Emirates",58759,49874,29765,16021,4088,8886
"United Kingdom",234249,199636,148046,32812,18778,34612
"Uruguay",5846,4492,4466,25,1,1354
"Vanuatu",20,7,7,0,0,13
"Venezuela",145,76,67,9,"*",69
"Vietnam",13568,13568,13568,"*",0,0
"Yemen",77,77,77,0,0,0
"Zambia",173,173,173,0,0,0
"International and regional organizations",55828,47488,44902,2556,30,8341
"Country Unknown","*","*","*",0,0,0
""
"Total",6145286,5467555,4756140,593485,117930,677731
""
"of which: Holdings of foreign official"
"institutions",3991853,3662609,3220986,381464,60160,329244
""
"Totals by Region:"
"Total Africa",32598,24717,23258,1409,51,7881
"Total Asia",3433792,3196430,2808438,343595,44397,237362
"Total Caribbean",358165,239539,173759,56546,9234,118626
"Total Europe",1758207,1501339,1299610,155819,45909,256868
"Total Latin America",387381,356046,319206,20725,16116,31335
"Canada",76668,67282,56232,9676,1374,9386
"Australia/Oceania",42646,34714,30736,3160,819,7932
"Country Unknown","*","*","*",0,0,0
"International and regional organizations",55828,47488,44902,2556,30,8341
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
