"Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security"
"Type, as of June 30, 2024"
"Millions of dollars"
"","Total","","","Agen","cy","Corpo","rate"
"Macedonia","*","*",0,0,0,0,0
"Madagascar",1125,"*",1106,"*",0,"*",0
"Malawi","*","*","*","*",0,"*",0
"Malaysia",74131,41285,13133,"*",16526,2794,"*"
"Maldives","*","*","*",0,0,0,0
"Mali","*","*",0,0,0,0,0
"Malta",4857,3238,"*",0,"*",1387,0
"Marshall Islands",2969,2168,"*","*","*",640,"*"
"Martinique","*","*",0,0,0,"*",0
"Mauritania","*","*","*","*",0,"*",0
"Mauritius",2626,1055,1138,"*","*","*","*"
"Mexico",206644,107623,79988,"*",8440,9962,"*"
"Moldova",2559,"*",2542,"*",0,0,0
"Monaco",4155,3163,662,"*","*","*","*"
"Mongolia","*","*","*","*",0,0,0
"Montenegro","*","*",0,0,0,"*",0
"Montserrat","*","*","*","*",0,"*",0
"Morocco",3087,"*",2838,"*","*","*",0
"Mozambique","*","*","*","*",0,"*",0
"Namibia",730,556,"*","*","*","*","*"
"Nauru","*","*",0,0,0,0,0
"Nepal",2707,"*",2702,"*",0,"*",0
"Netherlands",537342,379919,68663,"*",18526,68869,1076
"New Caledonia",1604,1367,0,0,0,"*",0
"New Zealand",62529,49446,8597,"*",1135,3075,"*"
"Nicaragua","*","*","*","*","*","*","*"
"Niger","*","*",0,0,0,0,0
"Nigeria",7552,"*",6551,"*","*","*","*"
"Niue","*","*",0,0,0,0,0
"Norway",912922,688876,154698,825,"*",68242,"*"
"Oman",18343,10754,6876,"*","*",690,"*"
"Pakistan","*","*","*",0,"*","*",0
"Palau","*","*","*","*","*","*","*"
"Panama",39631,20357,4186,"*",921,13482,504
"Papua New Guinea","*","*","*",0,0,0,0
"Paraguay",6629,"*",6147,"*",0,"*","*"
"Peru",51185,8680,37514,1561,"*",3217,"*"
"Philippines",61757,2990,57409,"*","*",763,"*"
"Pitcairn Island","*","*",0,0,0,0,0
"Poland",46913,3671,42080,"*","*",1162,"*"
"Portugal",18366,11598,5639,"*","*",1126,"*"
"Qatar",71009,43115,27196,"*","*","*","*"
"Reunion","*","*",0,0,0,0,0
"Romania",8824,771,7653,"*",0,"*","*"
"Russia",825,563,"*","*",0,"*",0
"Rwanda",984,"*",924,"*","*","*",0
"Saint Kitts and Nevis",8557,4965,1211,"*","*",2276,"*"
"Saint Lucia",1261,"*","*","*",0,"*","*"
"Saint Martin and Saint Barthelemy","*","*","*",0,0,"*",0
"Saint Vincent and the Grenadines","*","*","*","*",0,"*",0
"Samoa",1365,1061,"*","*","*","*",0
"San Marino","*","*","*",0,0,"*",0
"Sao Tome and Principe","*","*","*",0,0,0,0
"Saudi Arabia",333350,202127,109037,"*",8143,13100,776
"Senegal","*","*","*",0,0,"*",0
"Serbia",2437,"*",2400,0,0,"*","*"
"Seychelles",1012,690,"*","*","*","*","*"
"Sierra Leone","*","*",0,0,0,0,0
"Singapore",869096,565963,202356,"*",10708,71759,18046
"Sint Maarten","*","*","*","*","*","*",0
"Slovakia",793,"*",515,"*",0,"*","*"
"Slovenia",4726,3929,"*","*",0,623,0
"Solomon Islands","*",0,"*",0,0,0,0
"Somalia","*","*",0,0,0,0,0
"South Africa",37796,25018,10424,"*",668,1490,"*"
"Spain",137852,63635,61958,"*",6150,5475,598
"Sri Lanka","*","*","*",0,0,"*",0
