,Total,Equities,Total LT Debt,LT Debt Treasury,LT Debt Agency,LT Debt Corp,ST Debt
Ireland,1852216.81,1130701.85,541076.31,241855.16,37662.32,261558.84,180438.66
Isle of Man,6170.33,3859.63,1773.35,1170.30,*,593.13,537.35
Israel,240794.75,153807.32,77357.78,60545.51,4820.72,11991.55,9629.64
Italy,159592.85,86850.22,64258.91,45459.45,758.30,18041.17,8483.71
Jamaica,1968.17,*,1118.49,785.70,*,*,*
Japan,2591554.94,974821.42,1541141.46,1015562.63,242173.83,283405.00,75592.06
Jersey,34637.85,24479.62,8275.59,3454.95,*,4387.93,1882.64
Jordan,2790.50,*,2664.66,2660.28,*,*,*
Kazakhstan,9851.16,*,4674.87,2372.11,*,2253.93,4793.61
Kenya,3462.15,*,3362.67,3342.88,*,*,*
Kiribati,*,*,0.00,0.00,0.00,0.00,0.00
"Korea, South",686591.73,485826.53,196016.34,112259.59,36055.71,47701.04,4748.86
Kosovo,*,*,*,0.00,0.00,*,*
Kuwait,437566.75,341103.50,79206.15,45087.77,5160.12,28958.26,17257.11
Kyrgyzstan,*,*,0.00,0.00,0.00,0.00,0.00
Laos,*,*,0.00,0.00,0.00,0.00,0.00
Latvia,2136.15,654.94,1406.41,*,844.92,*,*
Lebanon,*,*,*,*,*,*,*
Lesotho,*,*,*,*,*,0.00,*
Liberia,1822.31,1026.08,*,*,*,*,*
Libya,2118.73,*,1268.61,1268.60,0.00,*,847.92
Liechtenstein,33268.08,31715.18,1303.04,*,*,1047.70,*
Lithuania,2615.79,*,2231.23,1914.33,*,*,*
Luxembourg,2329288.10,1233104.84,946032.17,272367.56,51200.65,622463.96,150151.09
Macau,6532.96,3054.38,3395.70,1170.51,603.34,1621.85,*
Macedonia,*,*,0.00,0.00,0.00,0.00,0.00
Madagascar,1125.42,*,1108.60,1106.43,*,*,0.00
Malawi,*,*,*,*,*,*,0.00
Malaysia,74230.13,41284.70,32846.49,13132.95,16916.61,2796.93,*
Maldives,*,*,*,*,0.00,0.00,0.00
Mali,*,*,0.00,0.00,0.00,0.00,*
Malta,5178.26,3238.46,1618.64,*,*,1386.95,*
Marshall Islands,3942.72,2168.14,800.91,*,*,646.57,973.67
Martinique,*,*,*,0.00,0.00,*,0.00
Mauritania,*,*,*,*,*,*,0.00
Mauritius,2869.63,1054.58,1571.46,1137.56,*,*,*
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,221733.47,107622.66,99021.14,79987.53,8862.07,10171.54,15089.66
Moldova,2596.72,*,2544.73,2542.24,*,0.00,*
Monaco,4822.36,3163.14,991.93,662.17,*,*,667.28
Mongolia,*,*,*,*,*,0.00,*
Montenegro,*,*,*,0.00,0.00,*,0.00
Montserrat,*,*,*,*,*,*,*
Morocco,3236.85,*,3006.24,2837.67,*,*,*
Mozambique,*,*,*,*,*,*,*
Namibia,930.94,555.55,*,*,*,*,*
Nauru,*,*,0.00,0.00,0.00,0.00,0.00
Nepal,2956.56,*,2702.66,2701.97,*,*,*
Netherlands,542226.16,379918.54,157423.82,68663.20,18815.08,69945.53,4883.80
Netherlands Antilles,*,*,*,*,*,*,*
New Caledonia,1603.55,1366.59,*,0.00,0.00,*,0.00
