"Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and"
"Type of Treasury Security, as of June 30, 2024"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"Qatar",28059,27196,27195,"*",0,863
"Romania",7692,7653,7653,"*",0,"*"
"Russia","*","*","*","*",0,"*"
"Rwanda",924,924,887,"*",0,0
"Saint Kitts and Nevis",2481,1211,1194,"*","*",1270
"Saint Lucia",628,"*","*","*",0,"*"
"Saint Martin and Saint Barthelemy","*","*","*",0,0,0
"Saint Pierre and Miquelon","*",0,0,0,0,"*"
"Saint Vincent and the Grenadines","*","*","*",0,0,"*"
"Samoa","*","*","*",0,0,"*"
"San Marino","*","*","*",0,0,"*"
"Sao Tome and Principe","*","*","*",0,0,0
"Saudi Arabia",139890,109037,104439,4056,541,30853
"Senegal","*","*","*","*",0,"*"
"Serbia",2401,2400,2381,"*",0,"*"
"Seychelles","*","*","*","*","*","*"
"Sierra Leone","*",0,0,0,0,"*"
"Singapore",212947,202356,110203,92059,"*",10591
"Sint Maarten","*","*","*",0,0,"*"
"Slovakia",656,515,515,"*","*","*"
"Slovenia","*","*","*",0,"*","*"
"Solomon Islands","*","*","*",0,0,0
"South Africa",16242,10424,8804,1605,"*",5818
"Spain",64932,61958,57927,4027,"*",2974
"Sri Lanka","*","*","*",0,0,"*"
"Suriname","*","*","*",0,0,"*"
"Eswatini","*","*","*","*","*","*"
"Sweden",46507,45899,42920,2978,"*",609
"Switzerland",284628,225894,201233,23864,797,58734
"Taiwan",267962,264809,256733,7999,"*",3154
"Tajikistan","*","*","*","*","*","*"
"Tanzania",1877,1877,1874,0,"*",0
"Thailand",75403,45630,43289,2341,"*",29773
"Togo","*","*","*",0,0,"*"
"Trinidad and Tobago",4157,2339,2265,"*","*",1818
"Tunisia","*","*","*","*","*","*"
"Turkey",3434,3200,3200,0,"*","*"
"Turks and Caicos Isl.",531,"*","*","*","*","*"
"Uganda",1027,635,632,"*","*","*"
"Ukraine",15698,15276,15268,0,"*","*"
"United Arab Emirates",69919,57077,55543,1076,"*",12842
"United Kingdom",739482,641191,527042,93312,20837,98291
"Uruguay",18661,12315,12238,"*",0,6346
"Uzbekistan","*","*","*","*","*","*"
"Vanuatu","*","*","*",0,0,"*"
"Venezuela",863,"*","*","*",0,"*"
"Vietnam",27740,27739,27739,0,"*","*"
"West Bank and Gaza","*","*","*",0,0,"*"
"Zambia","*","*","*","*","*","*"
"Zimbabwe","*",0,0,0,0,"*"
"Int. and reg. org.",96746,74947,64284,10048,615,21799
"Country Unknown","*","*","*",0,0,"*"
""
"Total",8210910,7110504,6254542,745419,110542,1100407
""
"of which: Holdings of foreign official"
"institutions",3822986,3557321,3134969,390259,32093,265666
""
"Totals by Region:"
"Total Africa",44221,34364,32600,1731,"*",9856
"Total Asia",3547172,3293976,2960038,327535,6404,253196
"Total Caribbean",546337,299119,236156,50404,12559,247218
"Total Europe",3017810,2548035,2219275,269265,59495,469775
"Total Latin America",509025,455016,391585,36830,26600,54009
"Canada",372999,339509,287550,47868,4092,33490
"Australia/Oceania",76586,65528,63045,1738,744,11058
"Country Unknown","*","*","*",0,0,"*"
"Int. and reg. org.",96746,74947,64284,10048,615,21799
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less."
""
""
""
