"Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as"
"of June 30, 2024"
"Millions of dollars"
"","","","","","of which: Comme","rcial Paper"
"","","","","Total","","Asset-backed"
"Countries and Regions","Total ST","Treasury","Agency","Corporate","Total CP","CP"
"Switzerland",60253,58734,"*",1512,1279,0
"Taiwan",4317,3154,"*",1114,565,0
"Tajikistan","*","*",0,0,0,0
"Thailand",29781,29773,0,"*","*",0
"Togo","*","*",0,0,0,0
"Trinidad and Tobago",1895,1818,0,"*","*",0
"Tunisia","*","*",0,"*",0,0
"Turkey","*","*",0,"*",0,0
"Turks and Caicos Isl.","*","*","*","*",0,0
"Uganda","*","*",0,0,0,0
"Ukraine","*","*",0,0,0,0
"United Arab Emirates",13307,12842,0,"*","*",0
"United Kingdom",107274,98291,"*",8915,5123,0
"Uruguay",6855,6346,0,509,"*",0
"Uzbekistan","*","*",0,0,0,0
"Vanuatu","*","*",0,0,0,0
"Venezuela","*","*",0,"*","*",0
"Vietnam","*","*",0,"*",0,0
"West Bank and Gaza","*","*",0,0,0,0
"Zambia","*","*",0,0,0,0
"Zimbabwe","*","*",0,0,0,0
"Int. and reg. org.",30715,21799,"*",8915,3124,0
"Country Unknown","*","*",0,"*",0,0
""
"Total",1314462,1100407,6511,207544,103551,0
""
"of which: Holdings of foreign official"
"institutions",274382,265666,"*",8530,2274,0
""
"Totals by Region:"
"Total Africa",9918,9856,"*","*","*",0
"Total Asia",280792,253196,897,26699,13219,0
"Total Caribbean",255841,247218,1289,7334,3613,0
"Total Europe",628823,469775,3742,155306,77656,0
"Total Latin America",58658,54009,"*",4637,2312,0
"Canada",37456,33490,541,3425,2990,0
"Australia/Oceania",12253,11058,"*",1166,580,0
"Country Unknown","*","*",0,"*",0,0
"Int. and reg. org.",30715,21799,"*",8915,3124,0
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
