"June              June              June              June              June              June              June"
"2018              2019              2020              2021              2022              2023              2024"
""
"us_treasuries_foi_8 to 9 years",119333,143259,136335,104364,170741,181981,171086
"us_treasuries_foi_9 to 10 years",105891,131609,106702,172075,163962,141357,149224
"us_treasuries_foi_10 to 15 years",19747,8506,2136,2570,4362,5947,7584
"us_treasuries_foi_15 to 20 years",12373,13133,23331,107066,141745,158506,168583
"us_treasuries_foi_20 to 25 years",117439,157614,163988,120926,72617,69130,60848
"us_treasuries_foi_25 to 30 years",109539,109836,129509,149116,107207,92080,69882
"us_treasuries_foi_30+ years",0,0,0,0,0,0,0
"us_treasuries_private",1816036,2050972,2242383,2633989,2874870,3094784,3553183
"us_treasuries_private_1 year or less",250804,301272,287005,289539,318405,405652,442294
"us_treasuries_private_1 to 2 years",273386,299905,299985,388558,434195,448104,498184
"us_treasuries_private_2 to 3 years",188590,185362,238185,274190,292891,316806,354900
"us_treasuries_private_3 to 4 years",151192,178428,189642,200671,239700,249526,315230
"us_treasuries_private_4 to 5 years",169309,170247,215342,237389,256710,314997,364354
"us_treasuries_private_5 to 6 years",106627,134046,127300,139587,170438,198364,169208
"us_treasuries_private_6 to 7 years",115421,118950,134051,189887,211549,154281,184727
"us_treasuries_private_7 to 8 years",72410,80187,80742,109530,84966,99583,131489
"us_treasuries_private_8 to 9 years",83590,87444,108583,87558,137501,116750,136651
"us_treasuries_private_9 to 10 years",81708,112768,102893,153259,138062,137369,160663
"us_treasuries_private_10 to 15 years",26459,13814,10693,15836,19342,18356,24223
"us_treasuries_private_15 to 20 years",15101,23514,44867,112802,152094,210885,286077
"us_treasuries_private_20 to 25 years",64212,100521,134510,152075,134842,129779,137421
"us_treasuries_private_25 to 30 years",170302,192012,223317,240935,234956,231167,260321
"us_treasuries_private_30+ years",0,0,0,0,0,0,0
""
""
""
""
""
""
"","June","June","June","June","June","June","June"
"",2018,2019,2020,2021,2022,2023,2024
""
"agencies_tot",1024200,1144971,1222537,1252339,1193689,1269623,1330019
"agencies_tot_1 year or less",15655,20156,11731,13275,9342,14771,12986
"agencies_tot_1 to 2 years",22313,13643,16232,9091,10118,14609,11688
"agencies_tot_2 to 3 years",12293,13058,7895,9819,9871,10408,9156
"agencies_tot_3 to 4 years",9648,4308,4876,7765,8893,8247,6593
"agencies_tot_4 to 5 years",5986,4842,11283,9333,10882,6102,11366
"agencies_tot_5 to 6 years",3714,7055,4514,8235,7148,7370,6266
"agencies_tot_6 to 7 years",7344,3352,7596,6808,11513,7719,7310
"agencies_tot_7 to 8 years",3525,4412,5412,8644,8345,6428,8583
"agencies_tot_8 to 9 years",5625,6010,9401,11815,8591,10021,10556
"agencies_tot_9 to 10 years",5199,10337,11878,10051,9709,11071,9161
"agencies_tot_10 to 15 years",40198,41670,37543,41104,39491,37180,36300
"agencies_tot_15 to 20 years",33088,33418,40741,51364,54521,62238,80937
"agencies_tot_20 to 25 years",171532,180265,195499,157404,151793,141120,150160
"agencies_tot_25 to 30 years",672915,782492,830726,869983,829535,910182,946182
"agencies_tot_30+ years",14363,19952,27209,37629,23897,22147,22761
"agencies_foi",578997,658185,686071,648378,649191,656711,592230
"agencies_foi_1 year or less",7492,10998,4857,7611,3886,4744,5185
"agencies_foi_1 to 2 years",12700,5960,9219,4109,6055,7401,4787
"agencies_foi_2 to 3 years",4831,8816,4113,4862,3751,4157,1901
"agencies_foi_3 to 4 years",4468,1984,1768,2653,3332,1921,1331
"agencies_foi_4 to 5 years",2192,1841,5094,3191,2428,1469,1809
"agencies_foi_5 to 6 years",800,1230,866,1661,1469,1880,1363
"agencies_foi_6 to 7 years",1185,937,2345,1584,1959,1943,887
"agencies_foi_7 to 8 years",873,988,1511,1491,1879,1287,931
"agencies_foi_8 to 9 years",1122,1014,2005,2255,1642,2540,1125
"agencies_foi_9 to 10 years",907,1468,2009,1683,2013,1531,1545
"agencies_foi_10 to 15 years",7264,11278,14021,16064,17364,17894,17335
"agencies_foi_15 to 20 years",15729,17197,21411,24861,26574,32488,38829
"agencies_foi_20 to 25 years",104067,117711,137069,106482,96436,91517,88060
"agencies_foi_25 to 30 years",421144,478928,480586,469698,486431,494155,438156
"agencies_foi_30+ years",1960,1854,4159,8183,2844,2618,1751
"agencies_private",445203,486786,536467,603961,544497,612912,737790
"agencies_private_1 year or less",8163,9158,6874,5664,5455,10027,7801
"agencies_private_1 to 2 years",9614,7683,7014,4983,4063,7208,6901
"agencies_private_2 to 3 years",7462,4241,3782,4957,6121,6250,7256
"agencies_private_3 to 4 years",5180,2323,3108,5112,5561,6326,5262
"agencies_private_4 to 5 years",3795,3000,6189,6142,8454,4633,9557
"agencies_private_5 to 6 years",2914,5825,3648,6574,5678,5490,4903
"agencies_private_6 to 7 years",6159,2415,5251,5224,9554,5777,6423
"agencies_private_7 to 8 years",2652,3424,3901,7153,6465,5141,7652
"agencies_private_8 to 9 years",4503,4996,7397,9560,6949,7481,9431
"agencies_private_9 to 10 years",4292,8869,9869,8368,7695,9540,7616
"agencies_private_10 to 15 years",32934,30393,23523,25040,22126,19285,18965
"agencies_private_15 to 20 years",17359,16222,19330,26503,27947,29750,42107
"agencies_private_20 to 25 years",67466,62554,58430,50922,55358,49603,62100
"agencies_private_25 to 30 years",251771,303563,350139,400285,343104,416027,508026
"agencies_private_30+ years",12403,18098,23051,29445,21053,19528,21010
""
""
""
""
""
""
"","June","June","June","June","June","June","June"
"",2018,2019,2020,2021,2022,2023,2024
""
"corporate_tot",3790465,3943234,4330730,4580814,3915974,4058910,4247496
"corporate_tot_1 year or less",223017,258170,248765,242911,223602,238536,284659
"corporate_tot_1 to 2 years",299644,321056,306924,305299,276687,343377,382908
"corporate_tot_2 to 3 years",352206,361711,359048,304725,350957,394176,421353
"corporate_tot_3 to 4 years",358610,368947,315574,402019,362323,373124,407594
"corporate_tot_4 to 5 years",377830,321827,416408,418798,359785,375641,428481
"corporate_tot_5 to 6 years",260357,288271,307551,354779,278959,299815,331983
"corporate_tot_6 to 7 years",268032,264522,317763,297261,257202,290941,234981
"corporate_tot_7 to 8 years",221679,255258,216543,272822,250281,186557,174086
"corporate_tot_8 to 9 years",203080,153762,176686,257211,165535,146561,151110
"corporate_tot_9 to 10 years",141547,150746,246833,199079,139453,141368,174977
"corporate_tot_10 to 15 years",179574,204841,268625,297008,292822,330969,338155
"corporate_tot_15 to 20 years",297287,308706,344899,334726,238280,226879,212861
"corporate_tot_20 to 25 years",173040,198170,232898,251344,213754,222514,235488
"corporate_tot_25 to 30 years",308326,359350,415116,461900,340557,319061,306675
"corporate_tot_30+ years",104663,108478,140484,160040,145606,154165,145732
"corporate_foi",155856,168598,200050,170932,153109,167519,209848
"corporate_foi_1 year or less",16183,18837,15567,8652,7774,10202,14162
"corporate_foi_1 to 2 years",15693,17539,15486,11761,13533,17371,20951
"corporate_foi_2 to 3 years",17286,19260,17703,16090,19594,19427,24197
"corporate_foi_3 to 4 years",15144,16206,16120,17095,15668,17596,22996
"corporate_foi_4 to 5 years",16467,16067,21490,16172,16872,17902,23432
"corporate_foi_5 to 6 years",11109,12969,14666,14849,13114,12633,19653
"corporate_foi_6 to 7 years",11708,11479,14317,12188,9719,13978,14186
"corporate_foi_7 to 8 years",8771,10597,9358,9493,12044,9699,10005
"corporate_foi_8 to 9 years",8754,7479,8883,12550,8195,7279,9612
"corporate_foi_9 to 10 years",8744,8529,17133,10856,7896,9261,15160
"corporate_foi_10 to 15 years",5532,7057,9856,9719,9610,13267,17593
"corporate_foi_15 to 20 years",7688,8015,11247,10059,9019,10511,8209
"corporate_foi_20 to 25 years",5674,5217,6769,6654,4805,5531,6221
"corporate_foi_25 to 30 years",12674,14684,22358,17224,13202,13704,18215
