"Table A2.  Foreign Holdings of U.S. Equities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Malaysia",13,14,14,19,27,28,34,41
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta",1,1,1,1,2,2,3,3
"Marshall Islands",1,1,1,1,2,1,1,2
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",4,1,1,1,1,2,1,1
"Mayotte",0,0,0,0,0,"*",0,0
"Mexico",47,58,24,28,40,36,36,108
"Moldova","*","*","*","*","*","*","*","*"
"Monaco",1,1,1,1,2,2,2,3
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro","*","*","*","*","*","*","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco","*","*","*",1,1,2,3,"*"
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia",1,1,1,"*","*","*","*",1
"Nauru","*","*","*","*","*","*","*","*"
"Nepal","*","*","*","*","*","*","*","*"
"Netherlands",254,280,284,264,354,305,320,380
"New Caledonia","*","*","*","*","*","*",1,1
"New Zealand",19,23,27,30,47,43,43,49
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria","*","*","*","*","*","*","*","*"
"Niue",0,"*","*",0,"*","*","*","*"
"Norway",239,277,309,325,446,386,511,689
"Oman",7,10,10,7,10,9,10,11
"Pakistan","*","*","*","*","*","*","*","*"
"Palau","*","*","*","*","*","*","*","*"
"Panama",12,12,14,14,20,17,17,20
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",11,12,13,8,8,8,6,9
"Philippines",3,3,4,3,4,5,4,3
"Pitcairn Island","*","*","*","*",0,0,"*","*"
"Poland",2,2,1,1,3,2,2,4
"Portugal",3,4,5,6,8,7,9,12
"Qatar",3,3,13,17,28,25,34,43
"Reunion","*","*","*","*","*","*","*","*"
"Romania","*","*","*","*","*","*","*",1
"Russia","*","*","*","*",1,1,1,1
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Helena",0,0,0,"*","*",0,0,0
"Saint Kitts and Nevis",2,2,6,6,7,6,6,5
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin and Saint Barthelemy","*","*","*","*","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*",1,"*",1
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe",0,"*","*","*","*","*","*","*"
"Saudi Arabia",46,57,93,133,182,181,184,202
"Senegal","*","*","*","*","*","*","*","*"
"Serbia","*","*","*","*","*","*","*","*"
"Seychelles","*","*","*","*",1,"*","*",1
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",167,180,180,169,327,323,408,566
"Sint Maarten","*","*","*","*","*","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia",1,1,1,1,2,2,3,4
"Solomon Islands","*","*","*","*","*","*",0,0
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",10,12,12,12,18,16,20,25
"South Sudan","*","*",0,0,"*","*",0,0
"Spain",18,18,21,23,39,35,40,64
"Sri Lanka","*","*","*","*","*","*","*","*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Eswatini","*","*","*","*","*","*","*","*"
"Sweden",130,164,180,194,307,274,315,396
"Switzerland",413,452,450,496,759,628,683,792
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",56,65,68,79,110,100,112,146
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania","*","*","*","*","*","*","*","*"
"Thailand",3,6,11,16,27,19,20,24
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*","*","*","*","*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago",3,3,4,3,4,4,4,5
"Tunisia",1,1,1,1,1,"*","*","*"
"Turkey",1,1,1,1,1,1,1,1
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Isl.","*","*",1,1,1,1,1,2
"Tuvalu",0,0,0,"*",0,0,0,0
"Uganda","*","*","*","*","*","*","*","*"
"Ukraine","*",3,"*","*","*","*","*","*"
"United Arab Emirates",80,89,101,127,134,130,147,214
"United Kingdom",844,924,1002,1019,1540,1312,1457,1743
"Uruguay",2,3,2,3,5,3,3,4
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",3,3,4,3,4,3,3,3
"Vietnam","*","*","*","*","*","*","*","*"
"Wallis and Futuna","*","*","*",0,0,"*","*","*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara",0,0,0,0,"*","*","*","*"
"Yemen","*","*","*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"Int. and reg. org.",5,5,9,9,13,14,17,18
"Country Unknown",1,1,1,1,1,1,1,"*"
"Total",7189,8139,8630,9168,13705,12177,13719,16878
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
""
