,LT,Equities,Treasury,Agcy NonABS,Agcy ABS,Corp NonABS,Corp ABS
Israel,231165.10,153807.32,60545.51,1291.86,3528.86,11578.76,*
Italy,151109.13,86850.22,45459.45,*,749.68,17574.31,*
Jamaica,1519.32,*,785.70,*,*,*,0.00
Japan,2515962.88,974821.42,1015562.63,664.50,241509.33,272128.82,11276.19
Jersey,32755.21,24479.62,3454.95,*,*,4133.27,*
Jordan,2790.33,*,2660.28,*,0.00,*,0.00
Kazakhstan,5057.55,*,2372.11,*,0.00,2253.92,*
Kenya,3455.27,*,3342.88,*,*,*,0.00
Kiribati,*,*,0.00,0.00,0.00,0.00,0.00
"Korea, South",681842.87,485826.53,112259.59,2290.51,33765.20,45331.50,2369.54
Kosovo,*,*,0.00,0.00,0.00,*,0.00
Kuwait,420309.65,341103.50,45087.77,*,4991.65,26114.48,2843.78
Kyrgyzstan,*,*,0.00,0.00,0.00,0.00,0.00
Laos,*,*,0.00,0.00,0.00,0.00,0.00
Latvia,2061.35,654.94,*,*,843.14,*,*
Lebanon,*,*,*,0.00,*,*,*
Lesotho,*,*,*,*,0.00,0.00,0.00
Liberia,1452.65,1026.08,*,*,*,*,0.00
Libya,1270.81,*,1268.60,0.00,0.00,*,0.00
Liechtenstein,33018.22,31715.18,*,*,*,1042.36,*
Lithuania,2522.51,*,1914.33,0.00,*,*,0.00
Luxembourg,2179137.01,1233104.84,272367.56,2328.84,48871.81,602901.78,19562.18
Macau,6450.08,3054.38,1170.51,*,603.32,1421.02,*
Macedonia,*,*,0.00,0.00,0.00,0.00,0.00
Madagascar,1125.42,*,1106.43,*,0.00,*,0.00
Malawi,*,*,*,*,0.00,*,0.00
Malaysia,74131.19,41284.70,13132.95,*,16525.55,2794.36,*
Maldives,*,*,*,0.00,0.00,0.00,0.00
Mali,*,*,0.00,0.00,0.00,0.00,0.00
Malta,4857.10,3238.46,*,0.00,*,1386.95,0.00
Marshall Islands,2969.05,2168.14,*,*,*,640.26,*
Martinique,*,*,0.00,0.00,0.00,*,0.00
Mauritania,*,*,*,*,0.00,*,0.00
Mauritius,2626.04,1054.58,1137.56,*,*,*,*
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,206643.80,107622.66,79987.53,*,8440.30,9961.58,*
Moldova,2558.50,*,2542.24,*,0.00,0.00,0.00
Monaco,4155.07,3163.14,662.17,*,*,*,*
Mongolia,*,*,*,*,0.00,0.00,0.00
Montenegro,*,*,0.00,0.00,0.00,*,0.00
Montserrat,*,*,*,*,0.00,*,0.00
Morocco,3086.62,*,2837.67,*,*,*,0.00
Mozambique,*,*,*,*,0.00,*,0.00
Namibia,729.62,555.55,*,*,*,*,*
Nauru,*,*,0.00,0.00,0.00,0.00,0.00
Nepal,2707.15,*,2701.97,*,0.00,*,0.00
Netherlands,537342.36,379918.54,68663.20,*,18526.19,68869.35,1076.18
Netherlands Antilles,*,*,*,NA,NA,NA,NA
New Caledonia,1603.56,1366.59,0.00,0.00,0.00,*,0.00
New Zealand,62528.67,49445.59,8596.74,*,1134.92,3074.56,*
Nicaragua,*,*,*,*,*,*,*
Niger,*,*,0.00,0.00,0.00,0.00,0.00
Nigeria,7552.33,*,6550.87,*,*,*,*
Niue,*,*,0.00,0.00,0.00,0.00,0.00
Norway,912922.02,688876.09,154697.76,825.30,*,68241.92,*
Oman,18342.87,10753.97,6876.04,*,*,689.88,*
