                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as
of June 30, 2024
 Millions of dollars
                                                                                                  Debt (LT = long-term; ST = short-term)
                                                   Total                           LT              LT               LT              LT
 Countries and Regions                          (LT and ST)     Equities          Total         Treasury         Agency            Corp            ST
  Latvia                                                 2136             655            1406               *             845               *               *
  Lebanon                                                   *               *               *               *               *               *               *
  Lesotho                                                   *               *               *               *               *               0               *
  Liberia                                                1822            1026               *               *               *               *               *
  Libya                                                  2119               *            1269            1269               0               *             848
  Liechtenstein                                         33268           31715            1303               *               *            1048               *
  Lithuania                                              2616               *            2231            1914               *               *               *
  Luxembourg                                          2329288         1233105          946032          272368           51201          622464          150151
  Macau                                                  6533            3054            3396            1171             603            1622               *
  Macedonia                                                 *               *               0               0               0               0               0
  Madagascar                                             1125               *            1109            1106               *               *               0
  Malawi                                                    *               *               *               *               *               *               0
  Malaysia                                              74230           41285           32846           13133           16917            2797               *
  Maldives                                                  *               *               *               *               0               0               0
  Mali                                                      *               *               0               0               0               0               *
  Malta                                                  5178            3238            1619               *               *            1387               *
  Marshall Islands                                       3943            2168             801               *               *             647             974
  Martinique                                                *               *               *               0               0               *               0
  Mauritania                                                *               *               *               *               *               *               0
  Mauritius                                              2870            1055            1571            1138               *               *               *
  Mexico                                               221734          107623           99021           79988            8862           10172           15090
  Moldova                                                2597               *            2545            2542               *               0               *
  Monaco                                                 4822            3163             992             662               *               *             667
  Mongolia                                                  *               *               *               *               *               0               *
  Montenegro                                                *               *               *               0               0               *               0
  Montserrat                                                *               *               *               *               *               *               *
  Morocco                                                3237               *            3006            2838               *               *               *
  Mozambique                                                *               *               *               *               *               *               *
  Namibia                                                 931             556               *               *               *               *               *
  Nauru                                                     *               *               0               0               0               0               0
  Nepal                                                  2957               *            2703            2702               *               *               *
  Netherlands                                          542226          379919          157424           68663           18815           69946            4884
  New Caledonia                                          1604            1367               *               0               0               *               0
  New Zealand                                           64645           49446           13083            8597            1183            3303            2116
  Nicaragua                                                 *               *               *               *               *               *               *
  Niger                                                     *               *               0               0               0               0               0
  Nigeria                                                7556               *            7165            6551               *               *               *
  Niue                                                      *               *               0               0               0               0               0
  Norway                                               913445          688876          224046          154698             830           68518             523
  Oman                                                  20134           10754            7589            6876               *             690            1791
  Pakistan                                                  *               *               *               *               *               *               *
  Palau                                                     *               *               *               *               *               *               *
  Panama                                                46914           20357           19274            4186            1102           13986            7283
  Papua New Guinea                                          *               *               *               *               0               0               0
  Paraguay                                               6926               *            6388            6147               *               *               *
  Peru                                                  53294            8680           42505           37514            1763            3229            2109
  Philippines                                           63975            2990           58767           57409             594             764            2218
  Pitcairn Island                                           *               *               0               0               0               0               *
  Poland                                                51998            3671           43242           42080               *            1162            5086
  Portugal                                              18794           11598            6769            5639               *            1128               *
  Qatar                                                 71872           43115           27893           27196               *               *             864
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                8863             771            8053            7653               *               *               *
  Russia                                                  830             563               *               *               *               *               *
  Rwanda                                                  984               *             982             924               *               *               0
  Saint Kitts and Nevis                                  9834            4965            3591            1211               *            2298            1278
  Saint Lucia                                            1456               *             853               *               *               *               *
  Saint Martin and Saint Barthelemy                         *               *               *               *               0               *               *
  Saint Pierre and Miquelon                                 *               0               0               0               0               0               *
  Saint Vincent and the Grenadines                          *               *               *               *               *               *               *
  Samoa                                                  1369            1061               *               *               *               *               *
  San Marino                                                *               *               *               *               0               *               *
  Sao Tome and Principe                                     *               *               *               *               0               0               0
