                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as
of June 30, 2025
 Millions of dollars
                                                                                                               of which: Commercial Paper
                                                                                                 Total                        Asset-backed
 Countries and Regions                         Total ST         Treasury         Agency        Corporate        Total CP           CP
  Serbia                                                    *               *               0               *               0               0
  Seychelles                                                *               *               0               0               0               0
  Sierra Leone                                              *               *               0               0               0               0
  Singapore                                             14160           13583               *               *               *               0
  Sint Maarten                                              *               *               0               0               0               0
  Slovakia                                                  *               *               0               0               0               0
  Slovenia                                                  *               *               0               *               0               0
  South Africa                                           5301            5297               0               *               0               0
  Spain                                                  4096            3567               0             529             505               0
  Sri Lanka                                                 *               *               0               *               0               0
  Suriname                                                  *               *               0               *               0               0
  Eswatini                                                  *               *               0               0               0               0
  Sweden                                                    *               *               0               *               0               0
  Switzerland                                           61873           59825               *            2017            1207               0
  Taiwan                                                 4943            3533               *            1395             721               0
  Tajikistan                                                *               *               0               0               0               0
  Tanzania                                                  *               *               0               0               0               0
  Thailand                                              21769           21768               0               *               0               0
  Trinidad and Tobago                                    1581            1572               0               *               *               0
  Tunisia                                                   *               *               0               0               0               0
  Turkey                                                 2174            2145               0               *               0               0
  Turks and Caicos Isl.                                     *               *               0               *               *               0
  Uganda                                                    *               *               0               0               0               0
  Ukraine                                                   *               *               0               0               0               0
  United Arab Emirates                                  58943           58329               0             613             568               0
  United Kingdom                                        91449           84573               *            6802            5782               0
  Uruguay                                                8506            7889               0             617             578               0
  Uzbekistan                                              710             710               0               0               0               0
  Vanuatu                                                   *               *               0               0               0               0
  Venezuela                                                 *               *               0               *               *               0
  Vietnam                                                   *               *               0               *               0               0
  West Bank and Gaza                                        *               *               0               0               0               0
  Zambia                                                    *               *               0               0               0               0
  Zimbabwe                                                  *               *               0               0               0               0
  Int. and reg. org.                                    41178           30036               *           11019            5925               0

  Total                                               1649164         1411424            9034          228706          133477               0

  of which: Holdings of foreign official
  institutions                                         404622          399483               *            4950            2852               0

  Totals by Region:
  Total Africa                                           9672            9560               0               *               *               0
  Total Asia                                           457623          439565             617           17441           11581               0
  Total Caribbean                                      250313          244116             988            5208            2720               0
  Total Europe                                         690618          500573            6109          183936          106290               0
  Euro area countries                                  505567          325070            5985          174512           98848               0
  Total Latin America                                  146120          142684               *            3436            1856               0
  Total Oceania                                         14218           11796               *            2405               *               0


* Greater than zero but less than $500 million.
n.a. Not available.



