                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and
Type of Treasury Security, as of June 30, 2025
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Papua New Guinea                                          *               *               *               0               0               *
  Paraguay                                               7303            6954            6949               *               0               *
  Peru                                                  41852           39328           39182               *               *            2524
  Philippines                                           56682           54409           44682            9724               *            2273
  Poland                                                66420           57644           57614               *               0            8775
  Portugal                                               1909            1401            1253               *               *             507
  Qatar                                                 23794           22923           22920               *               0             871
  Romania                                               10079           10058           10058               *               0               *
  Russia                                                    *               *               *               *               0               *
  Rwanda                                                  965             962             942               *               0               *
  Saint Kitts and Nevis                                  2540            1232            1209               *               *            1308
  Saint Lucia                                             583               *               *               *               0               *
  Saint Martin and Saint Barthelemy                         *               *               *               0               0               *
  Saint Vincent and the Grenadines                          *               *               *               0               0               *
  Samoa                                                     *               *               *               0               0               *
  San Marino                                                *               *               *               0               0               0
  Sao Tome and Principe                                     *               *               *               0               0               0
  Saudi Arabia                                         130316          103363           98344            4248             770           26954
  Senegal                                                   *               *               *               *               0               *
  Serbia                                                 2760            2260            2260               0               0               *
  Seychelles                                                *               *               *               *               0               *
  Sierra Leone                                              *               0               0               0               0               *
  Singapore                                            253018          239435          131972          107426               *           13583
  Sint Maarten                                              *               *               *               0               0               *
  Slovakia                                                728             603             603               *               0               *
  Slovenia                                                  *               *               *               *               0               *
  Solomon Islands                                           *               *               *               0               0               0
  South Africa                                          14840            9543            7091            2451               *            5297
  Spain                                                 62919           59352           57166            2186               0            3567
  Sri Lanka                                                 *               *               *               0               0               *
  Suriname                                                  *               *               *               0               0               *
  Eswatini                                                  *               *               *               *               0               *
  Sweden                                                48325           47911           45714            2197               *               *
  Switzerland                                          299102          239277          209889           28854             534           59825
  Taiwan                                               307324          303791          294610            9152               *            3533
  Tajikistan                                                *               *               *               *               0               *
  Tanzania                                               1828            1826            1826               0               0               *
  Thailand                                              83205           61437           55947            5489               *           21768
  Trinidad and Tobago                                    4274            2703            2673               *               0            1572
  Tunisia                                                   *               *               *               0               0               *
  Turkey                                                 7671            5526            5526               0               *            2145
  Turks and Caicos Isl.                                     *               *               *               *               0               *
  Uganda                                                 1250             825             817               *               0               *
  Ukraine                                               13406           12952           12952               0               0               *
  United Arab Emirates                                  95997           37668           36214            1131               *           58329
  United Kingdom                                       852858          768284          651479           99921           16884           84573
  Uruguay                                               20543           12654           12412               *               0            7889
  Uzbekistan                                              862               *               *               *               0             710
  Vanuatu                                                   *               *               *               0               0               *
  Venezuela                                               782               *               *               *               0               *
  Vietnam                                               29875           29835           29835               0               *               *
  West Bank and Gaza                                        *               0               0               0               0               *
  Zambia                                                    *               *               *               *               0               *
  Zimbabwe                                                  *               *               *               0               0               *
  Int. and reg. org.                                    93216           63180           50606           11534            1040           30036
  Country Unknown                                           *               *               *               0               0               0

  Total                                               9076079         7664654         6772536          811909           80209         1411424

  of which: Holdings of foreign official
  institutions                                        3899182         3499698         3054078          419968           25652          399483

  Totals by Region:
  Total Africa                                          48263           38703           36167            2528               *            9560
  Total Asia                                          3723120         3283554         2935976          344821            2758          439565
  Total Caribbean                                      664903          420787          364891           51499            4397          244116
  Total Europe                                        3434440         2933867         2592278          295945           45644          500573
  Euro area countries                                 1850021         1524950         1352802          144323           27826          325070
  Total Latin America                                  594556          451872          386776           41440           23656          142684
  Total Oceania                                         79060           67264           64376            2349             539           11796


* Greater than zero but less than $500 million.
n.a. Not available.

** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less.



