                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A4.  Foreign Holdings of U.S. Short-Term Debt Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Montserrat                                           0               0               *               *               *               *               *               *
  Morocco                                              0               *               *               *               *               *               *               *
  Mozambique                                           0               *               *               0               0               *               *               *
  Namibia                                              0               *               *               0               *               *               *               *
  Nepal                                                *               *               *               *               *               *               *               1
  Netherlands                                          9               3               3               2               2               4               5               4
  New Zealand                                          *               1               3               2               *               *               2               3
  Nicaragua                                            *               *               *               *               *               *               *               *
  Nigeria                                              *               *               *               *               *               *               *               *
  Norway                                               1               1               1               1               1               1               1               *
  Oman                                                 *               *               *               *               *               2               2               1
  Pakistan                                             2               *               *               1               *               *               *               *
  Palau                                                *               *               0               0               0               *               *               *
  Panama                                               2               3               3               4               5               9               7               5
  Papua New Guinea                                     *               *               *               *               0               *               0               *
  Paraguay                                             *               *               *               *               *               *               *               *
  Peru                                                 1               1               1               1               1               1               2               3
  Philippines                                          1               4               3               2               1               2               2               2
  Pitcairn Island                                      0               0               0               0               0               0               *               0
  Poland                                               *               4              10              12               1               5               5               9
  Portugal                                             *               *               1               *               1               *               *               1
  Qatar                                                5              18              20               5               3               5               1               1
  Romania                                              *               *               2               2               0               *               *               *
  Russia                                               6               6               3               4               2               *               *               *
  Rwanda                                               0               0               0               *               0               *               0               *
  Saint Kitts and Nevis                                *               1               *               *               *               1               1               1
  Saint Lucia                                          *               *               *               *               *               *               *               *
  Saint Martin and Saint Barthelemy                    *               0               *               0               0               0               *               *
  Saint Pierre and Miquelon                            0               0               0               0               0               *               *               0
  Saint Vincent and the Grenadines                     0               *               *               *               *               *               *               *
  Samoa                                                *               0               0               *               *               *               *               *
  San Marino                                           0               0               0               0               0               0               *               0
  Saudi Arabia                                        54              46              36              24              20              11              35              27
  Senegal                                              0               0               0               0               0               *               *               *
  Serbia                                               *               *               *               *               0               *               *               *
  Seychelles                                           *               *               *               *               *               *               *               *
  Sierra Leone                                         *               *               *               *               *               *               *               *
  Singapore                                           10              12              21              11              11               9              12              14
  Sint Maarten                                         *               *               *               *               *               *               *               *
  Slovakia                                             *               *               *               *               *               *               *               *
  Slovenia                                             *               *               *               *               *               *               *               *
  Solomon Islands                                      0               *               0               0               0               0               0               0
  South Africa                                         9               4               4               8               2               3               6               5
  Spain                                                2               2               3               2               1               2               3               4
  Sri Lanka                                            0               *               *               0               *               *               *               *
