                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Liberia                                              1               1               1               1               1               1               2               2
  Libya                                                4               5               2               2               3               1               2               2
  Liechtenstein                                        5               2               9              14              10              12              33              38
  Lithuania                                            3               2               2               2               2               3               3               3
  Luxembourg                                        1494            1623            1777            2301            1972            2094            2329            2641
  Macau                                                5               4               5               6               5               6               7              13
  Macedonia                                            *               *               *               *               *               *               *               *
  Madagascar                                           *               1               1               1               1               1               1               2
  Malawi                                               *               *               *               *               *               *               *               *
  Malaysia                                            42              41              55              60              55              66              74              91
  Maldives                                             *               *               *               *               *               *               *               *
  Mali                                                 *               *               *               *               *               *               *               *
  Malta                                                2               2               3               4               4               5               5               6
  Marshall Islands                                     1               1               1               3               2               3               4               4
  Martinique                                           *               *               *               *               *               *               *               *
  Mauritania                                           *               *               *               *               *               *               *               *
  Mauritius                                            3               3               3               2               3               3               3               4
  Mayotte                                              0               0               0               0               *               0               0               *
  Mexico                                             117              90              91             108             101             126             222             235
  Moldova                                              1               1               1               2               2               2               3               2
  Monaco                                               2               2               2               3               3               4               5               6
  Mongolia                                             1               *               *               *               *               *               *               *
  Montenegro                                           *               *               *               *               *               *               *               *
  Montserrat                                           *               *               *               *               *               *               *               *
  Morocco                                              3               5               5               5               6               7               3               4
  Mozambique                                           *               *               *               *               *               1               *               1
  Namibia                                              1               1               *               *               *               1               1               1
  Nauru                                                *               *               *               *               *               *               *               *
  Nepal                                                1               1               *               1               1               2               3               6
  Netherlands                                        413             421             425             530             457             478             542             644
  New Caledonia                                        *               *               *               *               *               1               2               1
  New Zealand                                         32              38              42              59              51              52              65              80
  Nicaragua                                            1               *               *               *               *               *               *               *
  Niger                                                *               *               *               *               *               *               *               *
  Nigeria                                              4               6               5               5               6               7               8               8
  Niue                                                 *               *               0               *               *               *               *               *
  Norway                                             370             452             467             614             546             693             913            1109
  Oman                                                23              19              15              18              16              20              20              20
  Pakistan                                             3               1               1               1               1               *               *               *
