                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2025
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Liberia                                                1689            1213               *               *               *               *               0
  Libya                                                  1418               *            1407               0               0               0               0
  Liechtenstein                                         37671           36072               *               *               *            1332               *
  Lithuania                                              2728               *            2036               0               *               *               0
  Luxembourg                                          2480888         1356936          308148            2395           74315          717150           21945
  Macau                                                 12705            3566            5985               *            1103            1710               *
  Macedonia                                                 *               *               0               0               0               0               0
  Madagascar                                             1620               *            1595               *               0               *               0
  Malawi                                                    *               *               *               *               0               *               0
  Malaysia                                              90762           54089           15260               *           18738            2252               *
  Maldives                                                  *               *               *               0               0               0               0
  Mali                                                      *               *               0               0               0               0               0
  Malta                                                  5511            3601               *               0               *            1592               0
  Marshall Islands                                       3267            2143               *               *               *             772               *
  Martinique                                                *               *               0               0               0               *               0
  Mauritania                                                *               *               *               *               0               *               *
  Mauritius                                              3214             846            1639               *               0             718               *
  Mayotte                                                   *               *               0               0               0               0               0
  Mexico                                               215715          121845           75933               *            6408           11236               *
  Moldova                                                1756               *            1742               0               0               0               0
  Monaco                                                 5066            4080             680               *               *               *               *
  Mongolia                                                  *               *               *               *               0               0               0
  Montenegro                                                *               *               0               0               0               *               0
  Montserrat                                                *               *               *               *               0               *               0
  Morocco                                                4129               *            3543               0               *               *               0
  Mozambique                                              557               *             536               *               0               *               0
  Namibia                                                 819             610               *               *               *               *               *
  Nauru                                                     *               *               0               0               0               0               0
  Nepal                                                  4488               *            4478               *               0               *               0
  Netherlands                                          640512          461203           79458               *           18166           80135            1411
  New Caledonia                                          1388            1316               0               0               0               *               0
  New Zealand                                           77131           59235           13141               *             956            3509               *
  Nicaragua                                                 *               *               *               *               *               *               *
  Niger                                                     *               *               0               0               0               0               0
  Nigeria                                                8031               *            7149               *               *               *               *
  Niue                                                      *               *               0               0               0               0               0
  Norway                                              1108724          826129          194804               *               *           87167               *
  Oman                                                  18958           10673            7732               *               *               *               *
  Pakistan                                                  *               *               *               0               *               *               0
  Palau                                                     *               *               *               *               *               *               *
  Panama                                                40917           23202            4182               *            1580           11346               *
  Papua New Guinea                                          *               *               *               0               0               0               0
  Paraguay                                               7467               *            6954               *               0               *               *
  Peru                                                  54183           10873           39328             520               *            3219               *
  Philippines                                           59322            3454           54409               *             587             789               *
  Pitcairn Island                                           *               *               0               0               0               0               0
  Poland                                                62596            4876           57644               *               *               *               *
  Portugal                                              15344           12821            1401               *               *            1115               *
  Qatar                                                 81526           57854           22923               0               *             560               *
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                               11403             938           10058               0               0               *               0
  Russia                                                 2388            2293               *               *               0               *               0
  Rwanda                                                 1017               *             962               *               *               *               0
  Saint Kitts and Nevis                                 11111            6903            1232               *               *            2823               *
  Saint Lucia                                            1391               *               *               *               0               *               *
  Saint Martin and Saint Barthelemy                         *               *               *               0               0               *               0
  Saint Vincent and the Grenadines                          *               *               *               *               0               *               *
  Samoa                                                  1651            1316               *               *               *               *               0
