"Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and"
"Type of Treasury Security, as of June 30, 2022"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"Countries and Regions","Total","Total","Nominal","TIPS","FRN","ST debt**"
"Afghanistan",1251,1251,1251,0,0,0
"Albania",617,617,616,1,0,"*"
"Algeria",678,0,0,0,0,678
"Andorra",432,414,394,20,0,19
"Angola",882,882,882,0,0,0
"Anguilla",287,88,87,"*",0,200
"Antigua and Barbuda",269,259,259,"*",0,10
"Argentina",4021,795,685,108,2,3226
"Armenia",718,663,638,0,25,54
"Aruba",285,245,245,0,"*",40
"Australia",54110,47069,44436,1552,1081,7041
"Austria",4854,4070,3921,147,2,784
"Azerbaijan",9117,8554,8353,1,200,562
"Bahamas",30216,2822,2738,56,28,27394
"Bahrain",1111,287,284,2,"*",825
"Bangladesh",6430,5434,5434,0,0,996
"Barbados",1583,1147,1140,7,0,436
"Belgium",270920,230038,191017,11564,27458,40882
"Belize",278,235,234,1,"*",43
"Bermuda",78826,40916,38736,1469,711,37910
"Bhutan",5,5,5,0,0,0
"Bolivia",253,106,103,3,0,148
"Botswana",342,276,235,0,41,66
"Brazil",226118,225351,194866,21182,9303,768
"British Virgin Islands",40631,33001,26817,6113,71,7630
"Brunei",1804,624,139,485,0,1181
"Bulgaria",107,107,107,0,0,"*"
"Burma",103,103,103,0,0,0
"Cambodia",5488,5486,5484,2,0,2
"Canada",204432,187607,164260,22193,1154,16825
"Cape Verde",56,56,56,0,0,0
"Cayman Islands",301041,174565,115994,54137,4434,126476
"Chile",40321,34042,29782,3997,262,6279
"China, mainland",937694,935476,793142,142333,0,2219
"Colombia",34938,34128,34101,28,0,809
"Congo (Brazzaville)","*","*","*",0,0,0
"Cook Islands",3,0,0,0,0,3
"Costa Rica",1955,1684,1670,14,0,271
"Cote d`Ivoire (Ivory Coast)",11,11,11,0,0,0
"Croatia",1832,1257,1253,4,0,576
"Curacao",2391,583,558,25,"*",1808
"Cyprus",280,123,123,"*",0,158
"Czech Republic",19387,19293,19293,"*",0,94
"Denmark",14408,13650,11911,1718,22,758
"Dominica",98,96,96,"*",0,2
"Dominican Republic",2339,2289,1418,3,868,50
"East Timor",10569,10569,10569,0,0,0
"Ecuador",178,119,116,2,"*",60
"Egypt",4695,95,94,1,0,4600
"El Salvador",562,100,98,2,0,462
"Estonia",332,247,62,184,0,86
"Federated States of Micronesia",58,58,58,0,0,0
"Finland",5549,5429,4950,479,0,120
"France",233675,216358,176658,38168,1533,17317
"French Guiana",119,119,119,0,0,0
"French Polynesia",2,"*","*",0,0,2
"Gabon",16,15,15,0,0,1
"Gambia",160,0,0,0,0,160
"Germany",95005,87215,81606,5606,3,7790
"Ghana",2821,2694,2694,0,0,127
"Gibraltar",51,27,27,0,0,24
"Greece",2759,2002,2001,1,0,757
"Grenada",180,176,175,"*",0,4
"Guatemala",6368,6158,6147,10,1,210
"Guernsey",8670,6917,6405,281,231,1753
"Guyana",25,25,25,0,0,0
"Haiti",171,154,154,0,0,17
"Holy See (Vatican)",12,12,12,0,0,0
"Honduras",3334,3323,3314,9,0,11
"Hong Kong",186725,164043,153181,7965,2897,22682
"Hungary",666,161,161,1,0,504
"Iceland",567,567,567,0,0,0
"India",208522,205794,205792,1,0,2729
"Indonesia",19762,16289,16285,4,0,3473
"Iraq",31894,16026,15776,0,250,15868
"Ireland",284062,189735,161153,15883,12699,94328
"Isle of Man",1280,1045,1028,17,0,235
"Israel",51406,47040,46983,37,20,4366
"Italy",40266,38675,37250,1362,64,1591
"Jamaica",762,606,605,1,0,157
"Japan",1229767,1157884,1134643,23080,161,71883
"Jersey",4957,3112,2117,819,176,1846
"Jordan",1590,1587,1587,0,0,2
"Kazakhstan",8098,581,580,1,0,7518
"Kenya",4522,4516,4511,0,5,6
"Korea, South",110964,92823,86890,4805,1128,18142
"Kosovo",5,0,0,0,0,5
"Kuwait",45746,35379,17517,17748,114,10367
"Latvia",237,124,124,0,0,113
"Lebanon",10,8,2,0,7,2
"Lesotho",96,87,86,"*",0,10
"Liberia",33,21,21,0,0,12
"Libya",2720,1142,1142,0,0,1578
"Liechtenstein",298,176,148,28,1,121
"Lithuania",2078,2053,1828,225,0,26
"Luxembourg",303845,228725,203717,22542,2466,75119
"Macau",1170,1036,998,38,0,134
"Macedonia",2,2,2,0,0,0
"Madagascar",649,649,649,0,0,0
"Malawi",7,7,7,0,0,0
"Malaysia",8139,7984,6861,1123,0,155
"Maldives",116,116,101,0,15,0
"Malta",549,404,383,20,0,146
