"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2022"
"Millions of dollars, parts may not sum to total as some bonds have unknown maturities."
""
""
"","June","June","","June","June","","June","June","","June"
"",2016,2017,"",2018,2019,"",2020,2021,"",2022
"U.S. Treasuries Private",1823613,1,804946,1816036,20,50972,2242383,263,3989,2874870
"1 year or less",312246,"",256927,250804,3,01272,287005,28,9539,318405
"1 to 2 years",262677,"",288411,273386,2,99905,299985,38,8558,434195
"2 to 3 years",154896,"",177597,188590,1,85362,238185,27,4190,292891
"3 to 4 years",125669,"",151388,151192,1,78428,189642,20,0671,239700
"4 to 5 years",171610,"",167921,169309,1,70247,215342,23,7389,256710
"5 to 6 years",101895,"",89677,106627,1,34046,127300,13,9587,170438
"6 to 7 years",107546,"",107823,115421,1,18950,134051,18,9887,211549
"7 to 8 years",76402,"",79392,72410,"",80187,80742,10,9530,84966
"8 to 9 years",95786,"",86082,83590,"",87444,108583,8,7558,137501
"9 to 10 years",108161,"",92458,81708,1,12768,102893,15,3259,138062
"10 to 15 years",42995,"",36476,26459,"",13814,10693,1,5836,19342
"15 to 20 years",12090,"",11990,15101,"",23514,44867,11,2802,152094
"20 to 25 years",43878,"",48976,64212,1,00521,134510,15,2075,134842
"25 to 30 years",150962,"",162387,170302,1,92012,223317,24,0935,234956
"30+ years",0,"",0,0,"",0,0,"",0,0
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2022"
"Millions of dollars, parts may not sum to tot","al as some bonds","have unknown matu","rities."
""
""
"","June","June","","June","June","","June","June","","June"
"",2016,2017,"",2018,2019,"",2020,2021,"",2022
""
"Agencies",954325,"",980212,1024200,11,44971,1222537,125,2339,1193689
"1 year or less",38981,"",26755,15655,"",20156,11731,1,3275,9342
"1 to 2 years",45304,"",20762,22313,"",13643,16232,"",9091,10118
"2 to 3 years",13716,"",18192,12293,"",13058,7895,"",9819,9871
"3 to 4 years",8712,"",6852,9648,"",4308,4876,"",7765,8893
"4 to 5 years",7107,"",9691,5986,"",4842,11283,"",9333,10882
"5 to 6 years",5933,"",4131,3714,"",7055,4514,"",8235,7148
"6 to 7 years",4022,"",4268,7344,"",3352,7596,"",6808,11513
"7 to 8 years",4611,"",8388,3525,"",4412,5412,"",8644,8345
"8 to 9 years",10021,"",4793,5625,"",6010,9401,1,1815,8591
"9 to 10 years",6680,"",8351,5199,"",10337,11878,1,0051,9709
"10 to 15 years",36620,"",43540,40198,"",41670,37543,4,1104,39491
"15 to 20 years",29623,"",33765,33088,"",33418,40741,5,1364,54521
"20 to 25 years",130068,"",133945,171532,1,80265,195499,15,7404,151793
"25 to 30 years",602987,"",643364,672915,7,82492,830726,86,9983,829535
"30+ years",9715,"",12287,14363,"",19952,27209,3,7629,23897
""
"Agencies FOI",445673,"",426493,578997,6,58185,686071,64,8378,649191
"1 year or less",24907,"",14097,7492,"",10998,4857,"",7611,3886
