"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2021"
"Millions of dollars"
""
""
"","June","June","June","June","June","June","June"
"",2015,2016,2017,2018,2019,2020,2021
"Maturity groupings may not sum to totals becau","se some bonds hav","e unknown maturit","ies."
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2021"
"Millions of dollars"
""
""
"","June","June","June","June","June","June","June"
"",2015,2016,2017,2018,2019,2020,2021
""
"Agencies",880119,954325,980212,1024200,1144971,1222537,1245801
"1 year or less",26790,38981,26755,15655,20156,11731,13273
"1 to 2 years",40023,45304,20762,22313,13643,16232,9088
"2 to 3 years",32572,13716,18192,12293,13058,7895,9817
"3 to 4 years",9121,8712,6852,9648,4308,4876,7731
"4 to 5 years",12299,7107,9691,5986,4842,11283,8990
"5 to 6 years",7292,5933,4131,3714,7055,4514,8075
"6 to 7 years",6096,4022,4268,7344,3352,7596,6724
"7 to 8 years",5400,4611,8388,3525,4412,5412,8356
"8 to 9 years",4790,10021,4793,5625,6010,9401,11653
"9 to 10 years",10751,6680,8351,5199,10337,11878,9796
"10 to 15 years",28323,36620,43540,40198,41670,37543,40888
"15 to 20 years",26372,29623,33765,33088,33418,40741,48962
"20 to 25 years",116237,130068,133945,171532,180265,195499,157364
"25 to 30 years",545611,602987,643364,672915,782492,830726,867533
"30+ years",6605,9715,12287,14363,19952,27209,37531
""
"Agencies FOI",456380,445673,426493,578997,658185,686071,648298
"1 year or less",16734,24907,14097,7492,10998,4857,7611
"1 to 2 years",26746,26478,10722,12700,5960,9219,4109
"2 to 3 years",21483,7244,10756,4831,8816,4113,4862
"3 to 4 years",5182,4519,2393,4468,1984,1768,2653
"4 to 5 years",5751,3122,4509,2192,1841,5094,3190
"5 to 6 years",1672,1421,1367,800,1230,866,1661
"6 to 7 years",1747,1244,1086,1185,937,2345,1580
"7 to 8 years",1705,1483,1433,873,988,1511,1487
"8 to 9 years",1669,2098,1212,1122,1014,2005,2255
"9 to 10 years",2942,2256,1607,907,1468,2009,1683
"10 to 15 years",6793,8134,8667,7264,11278,14021,16064
"15 to 20 years",7794,11103,13391,15729,17197,21411,24861
"20 to 25 years",65139,70681,66356,104067,117711,137069,106480
"25 to 30 years",295600,287279,294084,421144,478928,480586,469629
"30+ years",1769,2275,2152,1960,1854,4159,8183
""
"Agencies Private",423739,508653,553719,445203,486786,536467,597503
"1 year or less",10056,14074,12658,8163,9158,6874,5662
"1 to 2 years",13277,18827,10040,9614,7683,7014,4979
"2 to 3 years",11089,6472,7437,7462,4241,3782,4956
"3 to 4 years",3939,4194,4459,5180,2323,3108,5078
"4 to 5 years",6549,3985,5182,3795,3000,6189,5800
"5 to 6 years",5620,4512,2764,2914,5825,3648,6415
"6 to 7 years",4349,2777,3181,6159,2415,5251,5145
"7 to 8 years",3695,3127,6954,2652,3424,3901,6869
"8 to 9 years",3121,7923,3581,4503,4996,7397,9398
"9 to 10 years",7808,4423,6744,4292,8869,9869,8113
"10 to 15 years",21530,28486,34872,32934,30393,23523,24824
"15 to 20 years",18578,18521,20374,17359,16222,19330,24101
"20 to 25 years",51098,59386,67589,67466,62554,58430,50884
"25 to 30 years",250011,315707,349280,251771,303563,350139,397904
"30+ years",4835,7440,10135,12403,18098,23051,29347
""
"Maturity groupings may not sum to totals becau","se some bonds hav","e unknown maturit","ies."
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2021"
"Millions of dollars"
""
""
"","June","June","June","June","June","June","June"
"",2015,2016,2017,2018,2019,2020,2021
""
"Corporate",3217006,3505220,3843861,3790465,3943234,4330730,4588587
"1 year or less",218099,238194,266666,223017,258170,248765,242952
"1 to 2 years",251638,314605,279834,299644,321056,306924,305393
"2 to 3 years",317877,300265,354445,352206,361711,359048,304727
"3 to 4 years",254105,299587,345338,358610,368947,315574,402070
"4 to 5 years",303394,349879,379506,377830,321827,416408,419207
"5 to 6 years",230703,238253,304310,260357,288271,307551,354956
"6 to 7 years",225423,260194,236231,268032,264522,317763,297378
"7 to 8 years",199627,163974,215542,221679,255258,216543,273149
"8 to 9 years",116169,155750,177998,203080,153762,176686,257405
"9 to 10 years",141311,168700,203113,141547,150746,246833,199369
"10 to 15 years",156844,162557,170468,179574,204841,268625,297548
"15 to 20 years",149066,212368,270935,297287,308706,344899,337446
"20 to 25 years",268810,233762,195794,173040,198170,232898,251417
"25 to 30 years",221472,271728,314348,308326,359350,415116,464420
"30+ years",119857,113018,104716,104663,108478,140484,160174
""
"Corporate FOI",167278,172725,170866,155856,168598,200050,171085
"1 year or less",13008,11431,17940,16183,18837,15567,8691
"1 to 2 years",14649,15632,16064,15693,17539,15486,11761
"2 to 3 years",21182,18988,19369,17286,19260,17703,16090
"3 to 4 years",17079,17299,15627,15144,16206,16120,17100
"4 to 5 years",18899,16489,18215,16467,16067,21490,16187
"5 to 6 years",10291,14379,13572,11109,12969,14666,14849
"6 to 7 years",11945,12864,11807,11708,11479,14317,12192
"7 to 8 years",11255,9507,10010,8771,10597,9358,9496
"8 to 9 years",9569,10004,9307,8754,7479,8883,12558
"9 to 10 years",11661,10766,11857,8744,8529,17133,10856
"10 to 15 years",5807,9649,5731,5532,7057,9856,9720
"15 to 20 years",6561,7950,7236,7688,8015,11247,10062
"20 to 25 years",9583,8484,7079,5674,5217,6769,6657
"25 to 30 years",14574,15991,14626,12674,14684,22358,17293
"30+ years",6991,5822,4875,4781,7072,9254,7978
""
"Corporate Private",3049729,3332495,3672995,3634608,3774637,4130679,4417502
"1 year or less",205091,226763,248726,206833,239334,233198,234260
"1 to 2 years",236989,298973,263769,283950,303517,291439,293632
"2 to 3 years",296695,281277,335076,334920,342450,341344,288636
"3 to 4 years",237025,282288,329710,343466,352741,299453,384970
"4 to 5 years",284495,333390,361291,361362,305760,394918,403020
"5 to 6 years",220412,223874,290738,249248,275301,292885,340107
"6 to 7 years",213478,247330,224424,256324,253043,303446,285185
"7 to 8 years",188372,154467,205532,212907,244662,207185,263653
"8 to 9 years",106600,145745,168691,194326,146283,167803,244846
"9 to 10 years",129650,157934,191256,132803,142217,229700,188513
"10 to 15 years",151036,152907,164737,174041,197784,258769,287828
"15 to 20 years",142506,204418,263699,289599,300691,333652,327384
"20 to 25 years",259227,225278,188715,167366,192953,226129,244760
"25 to 30 years",206898,255737,299722,295652,344665,392758,447127
"30+ years",112866,107196,99840,99882,101405,131230,152196
""
"Maturity groupings may not sum to totals becau","se some bonds hav","e unknown maturit","ies."
""
""
""
