                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as
of June 30, 2021
 Millions of dollars
                                                                                                  Debt (LT = long-term; ST = short-term)
                                                   Total                           LT              LT               LT              LT
 Countries and Regions                          (LT and ST)     Equities          Total         Treasury         Agency            Corp            ST
  Afghanistan                                            4496               6            3221            3221               0               *            1270
  Albania                                                 493              18             475             475               0               0               0
  Algeria                                                 745              65               *               0               0               *             680
  Andorra                                                2023            1277             730             175               0             555              16
  Angola                                                 2034             322            1712            1649               0              63               0
  Anguilla                                              10636            9935             299              78               *             221             402
  Antigua and Barbuda                                     392             129             261             234               6              21               3
  Argentina                                             13808            9362            2094             544              24            1525            2352
  Armenia                                                 848              19             800             799               0               *              30
  Aruba                                                  1320             423             855              75             193             587              41
  Australia                                            467229          374030           84268           37205            4763           42299            8931
  Austria                                               34586           27292            6847            3563             519            2765             447
  Azerbaijan                                            10529            3554            6818            6197              82             539             158
  Bahamas                                               65406           30731           22186            2420           12019            7748           12489
  Bahrain                                                2600            1662             165              79               2              84             773
  Bangladesh                                             1011              10               *               0               0               *            1000
  Barbados                                              14188            2197           11201            1202             604            9394             791
  Belarus                                                 177              57             120             120               0               0               0
  Belgium                                              925246          104005          787348          195488            8471          583388           33894
  Belize                                                 1451            1108             244              16               1             227              99
  Benin                                                     *               *               0               0               0               0               0
  Bermuda                                              382911          137899          211471           35261           23694          152516           33541
  Bhutan                                                   56              46              11               4               0               7               0
  Bolivia                                                1034             480             380              94               1             284             175
  Bonaire, Sint Eustatius & Saba                           23              15               8               0               0               8               0
  Bosnia and Herzegovina                                    3               3               *               0               0               *               0
  Botswana                                               1127             311             816             409              44             364               0
  Brazil                                               266276           15790          249813          248444             677             691             673
  British Indian Ocean Territory                            2               2               0               0               0               0               0
  British Virgin Islands                               206436          149131           51850           30444            1283           20123            5455
  Brunei                                                 7206            4492            2539            2043               0             496             175
  Bulgaria                                                531             387             139             127               1              11               5
  Burkina Faso                                              1               1               0               0               0               0               0
  Burma                                                   171               7             157             157               0               0               7
  Cambodia                                               4899              23            4876            4689              20             168               0
  Cameroon                                                  3               3               0               0               0               0               0
  Canada                                              1976594         1494656          462316          149733           81116          231467           19622
  Cape Verde                                              106               2              89              89               0               0              15
  Cayman Islands                                      2465212         1538498          801059          141003           36691          623366          125655
  Central African Republic                                  *               *               0               0               0               0               0
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 67853           27369           35436           32721             337            2379            5048
  China, mainland                                     1574962          273271         1298299         1057795          217800           22705            3392
  Colombia                                              58785           20072           38318           34932            1303            2083             395
  Comoros                                                   3               3               0               0               0               0               0
  Congo (Brazzaville)                                       1               1               0               0               0               0               0
  Congo (Kinshasa)                                         57               1              56               0               0              56               0
  Cook Islands                                            693             646              46               3               0              43               1
  Costa Rica                                             5567            3179            2309            1367             108             833              79
  Cote d`Ivoire (Ivory Coast)                               6               6               0               0               0               0               0
  Croatia                                                3236            1249            1849            1837               0              12             138
  Cuba                                                      1               1               0               0               0               0               0
  Curacao                                                7486            4746            1694             288             187            1219            1046
  Cyprus                                                 4699            4358             264             129               *             135              78
  Czech Republic                                        29834            8406           21186           19380            1715              91             242
  Denmark                                              253505          215198           37644           16742             263           20640             663
  Djibouti                                                  2               2               0               0               0               0               0
  Dominica                                                195             103              91              85               0               6               1
  Dominican Republic                                     4914             774            4119            3876               3             241              21
  East Timor                                            13159            4521            8639            8639               0               0               0
  Ecuador                                                1469             861             485             121              36             328             123
  Egypt                                                 18174             967            2253            2245               *               7           14954
