Methodology,Year,Investor,Asset_Class,Asset_Class_Code,Destination,Destination_Restated,Value
2,2019,USA,4,BC,HKG,CHN,0.5581516623497009
2,2019,USA,4,BC,VGB,CHN,0.8797150254249573
2,2019,USA,5,BG,CYM,CHN,0.015739403665065765
2,2019,USA,5,BG,HKG,CHN,0.2999919354915619
2,2019,USA,3,E,CYM,CHN,0.8588051795959473
2,2019,USA,3,E,HKG,CHN,0.3228819966316223
2,2019,USA,3,E,VGB,CHN,0.02636393904685974
2,2018,USA,4,BC,CYM,CHN,0.3920731246471405
2,2018,USA,4,BC,HKG,CHN,0.5848183035850525
2,2018,USA,4,BC,VGB,CHN,0.9004263281822205
2,2018,USA,5,BG,CYM,CHN,0.03269040957093239
2,2018,USA,5,BG,HKG,CHN,0.6069762706756592
2,2018,USA,2,BSF,CYM,CHN,0.0001443809160264209
2,2018,USA,3,E,CYM,CHN,0.8532184958457947
2,2018,USA,3,E,HKG,CHN,0.3483365774154663
2,2018,USA,3,E,VGB,CHN,0.03825720399618149
2,2017,USA,4,BC,CYM,CHN,0.3437920808792114
2,2017,USA,4,BC,HKG,CHN,0.5684597410607647
2,2017,USA,4,BC,VGB,CHN,0.8457580208778381
2,2017,USA,5,BG,CYM,CHN,0.014776376076042652
2,2017,USA,5,BG,HKG,CHN,0.5041820406913757
2,2017,USA,2,BSF,CYM,CHN,0.0006971628172323108
2,2017,USA,2,BSF,VGB,CHN,0.3924541771411896
2,2017,USA,3,E,CYM,CHN,0.8729664087295532
2,2017,USA,3,E,HKG,CHN,0.32970312237739563
2,2017,USA,3,E,VGB,CHN,0.030712800100445747
2,2016,USA,4,BC,CYM,CHN,0.1936926394701004
2,2016,USA,4,BC,HKG,CHN,0.5325296521186829
2,2016,USA,4,BC,VGB,CHN,0.7715498208999634
2,2016,USA,5,BG,CYM,CHN,0.020374739542603493
2,2016,USA,5,BG,HKG,CHN,0.0071095251478254795
2,2016,USA,2,BSF,CYM,CHN,0.0009401807910762727
2,2016,USA,2,BSF,VGB,CHN,0.43202200531959534
2,2016,USA,3,E,CYM,CHN,0.8329867124557495
2,2016,USA,3,E,HKG,CHN,0.3517442047595978
2,2016,USA,3,E,VGB,CHN,0.03154807165265083
2,2015,USA,4,BC,CYM,CHN,0.22871176898479462
2,2015,USA,4,BC,HKG,CHN,0.6476755738258362
2,2015,USA,4,BC,VGB,CHN,0.7605457901954651
2,2015,USA,5,BG,HKG,CHN,0.16200615465641022
2,2015,USA,2,BSF,CYM,CHN,0.0011951154577428376
2,2015,USA,2,BSF,VGB,CHN,0.18305352330207825
2,2015,USA,3,E,CYM,CHN,0.8356641718558445
2,2015,USA,3,E,HKG,CHN,0.3705064356327057
2,2015,USA,3,E,VGB,CHN,0.03257584944367409
2,2014,USA,4,BC,CYM,CHN,0.18101851642131805
2,2014,USA,4,BC,HKG,CHN,0.5940114259719849
2,2014,USA,4,BC,VGB,CHN,0.7165172696113586
2,2014,USA,5,BG,HKG,CHN,0.13805583119392395
2,2014,USA,2,BSF,CYM,CHN,0.0017355853924527764
2,2014,USA,2,BSF,VGB,CHN,0.21337749063968658
2,2014,USA,3,E,CYM,CHN,0.849956750869751
2,2014,USA,3,E,HKG,CHN,0.34691309928894043
2,2014,USA,3,E,VGB,CHN,0.025405336171388626
2,2013,USA,4,BC,CYM,CHN,0.1072029322385788
2,2013,USA,4,BC,HKG,CHN,0.5986237525939941
2,2013,USA,4,BC,VGB,CHN,0.6237865090370178
2,2013,USA,5,BG,HKG,CHN,0.02448427490890026
2,2013,USA,2,BSF,CYM,CHN,0.003943297080695629
2,2013,USA,3,E,CYM,CHN,0.7622354626655579
2,2013,USA,3,E,HKG,CHN,0.3576541841030121
2,2013,USA,3,E,VGB,CHN,0.019640199840068817
