"Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security"
"Type, as of June 30, 2023"
"Millions of dollars"
"","Total","","","Agen","cy","Corpo","rate"
"Countries and Regions","LT","Equities","Treasury","NonABS","ABS","NonABS","ABS"
"Afghanistan",855,"*",843,0,0,"*",0
"Albania",741,"*",705,"*",0,"*","*"
"Algeria","*","*",0,0,0,"*",0
"Andorra",2796,1514,601,"*",0,680,"*"
"Angola",1073,"*",619,0,"*","*",0
"Anguilla",11204,10908,"*","*",0,"*","*"
"Antigua and Barbuda","*","*","*","*","*","*",0
"Argentina",11280,7417,1969,"*","*",1882,"*"
"Armenia",783,"*",740,"*",0,"*",0
"Aruba",1481,"*","*","*","*","*","*"
"Australia",557832,473922,43673,"*",6341,26882,6860
"Austria",37700,30886,4473,"*","*",2153,"*"
"Azerbaijan",21751,7024,14364,"*","*","*",0
"Bahamas",57588,25010,5292,"*",19516,7136,"*"
"Bahrain",1244,626,600,0,"*","*","*"
"Bangladesh",4368,"*",4360,0,0,"*",0
"Barbados",14783,1995,1528,"*",1471,6247,3204
"Belarus","*","*",0,0,0,0,0
"Belgium",907606,85152,259444,2593,8898,540058,11460
"Belize",1484,811,"*","*","*","*","*"
"Benin","*","*",0,0,0,0,0
"Bermuda",319384,130838,42396,2339,19957,103234,20620
"Bhutan","*","*","*",0,0,"*",0
"Bolivia",913,"*","*","*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*",0,0,0,"*",0
"Bosnia and Herzegovina","*","*",0,0,0,"*",0
"Botswana",1603,1026,"*","*","*","*","*"
"Brazil",240924,16986,222704,"*","*",1113,"*"
"British Indian Ocean Territory","*","*",0,0,0,"*",0
"British Virgin Islands",197447,134982,34368,"*",1351,24240,2147
"Brunei",2639,1964,"*","*",0,"*","*"
"Bulgaria",715,"*","*",0,"*","*",0
"Burkina Faso","*","*",0,0,0,0,0
"Burma","*","*","*",0,0,0,0
"Burundi","*","*",0,0,0,0,0
"Cambodia",6588,"*",5728,"*",586,"*",0
"Cameroon","*","*",0,0,0,0,0
"Canada",2025113,1458399,247866,1507,104770,179923,32648
"Cape Verde","*","*","*",0,0,0,0
"Cayman Islands",2236871,1575356,154942,4189,25829,407599,68956
"Chad","*","*",0,0,0,0,0
"Chile",67784,27980,35791,"*","*",3507,"*"
"China, mainland",1427180,309363,829192,6696,263111,14895,3923
"Colombia",59653,19743,34970,595,1269,2895,"*"
"Comoros","*","*","*",0,0,0,0
"Congo (Brazzaville)","*","*",0,0,0,0,0
"Congo (Kinshasa)","*","*","*",0,0,0,0
"Cook Islands","*","*","*",0,0,"*","*"
"Costa Rica",8435,3862,3478,"*","*",1053,"*"
"Cote d`Ivoire",1298,1298,0,0,0,0,0
"Croatia",2422,969,1443,"*",0,"*",0
"Cuba","*","*",0,0,0,0,0
