"Table A8.  Foreign Holdings of U.S. Equities, by Country and Equity Type,"
"as of June 30, 2023"
"Millions of dollars"
"","Total","Common","","Preferred"
"Countries and Regions","Equities","Stock","Funds","and Other"
"Afghanistan","*","*","*","*"
"Albania","*","*","*","*"
"Algeria","*","*","*","*"
"Andorra",1514,1192,"*","*"
"Angola","*","*","*","*"
"Anguilla",10908,10429,"*","*"
"Antigua and Barbuda","*","*","*","*"
"Argentina",7417,3863,3364,"*"
"Armenia","*","*","*",0
"Aruba","*","*","*","*"
"Australia",473922,336843,68715,68364
"Austria",30886,27804,3027,"*"
"Azerbaijan",7024,6015,847,"*"
"Bahamas",25010,11237,12934,840
"Bahrain",626,"*","*","*"
"Bangladesh","*","*","*",0
"Barbados",1995,648,1284,"*"
"Belarus","*","*","*","*"
"Belgium",85152,72085,12780,"*"
"Belize",811,"*","*","*"
"Benin","*","*","*","*"
"Bermuda",130838,28326,93399,9113
"Bhutan","*","*","*",0
"Bolivia","*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*","*"
"Bosnia and Herzegovina","*","*","*",0
"Botswana",1026,939,"*","*"
"Brazil",16986,5684,10630,672
"British Indian Ocean Territory","*","*","*",0
"British Virgin Islands",134982,72592,52767,9623
"Brunei",1964,"*",1616,"*"
"Bulgaria","*","*","*","*"
"Burkina Faso","*","*","*","*"
"Burma","*","*","*","*"
"Burundi","*",0,"*",0
"Cambodia","*","*","*","*"
"Cameroon","*","*","*",0
"Canada",1458399,1118629,287008,52762
"Cape Verde","*",0,"*","*"
"Cayman Islands",1575356,806862,571068,197426
"Chad","*","*","*","*"
"Chile",27980,3401,22388,2191
"China, mainland",309363,261223,39934,8206
"Colombia",19743,795,18546,"*"
"Comoros","*","*","*",0
"Congo (Brazzaville)","*","*","*",0
"Congo (Kinshasa)","*","*","*","*"
"Cook Islands","*","*","*","*"
"Costa Rica",3862,668,3167,"*"
"Cote d`Ivoire",1298,"*",1254,0
"Croatia",969,760,"*","*"
"Cuba","*","*","*",0
"Curacao",3771,1236,2127,"*"
"Cyprus",4560,3609,863,"*"
"Czech Republic",9359,8290,1055,"*"
"Denmark",171374,138308,13689,19377
"Djibouti","*","*","*",0
"Dominica","*","*","*","*"
"Dominican Republic","*","*","*","*"
"East Timor",3410,3337,"*",0
"Ecuador",598,"*","*","*"
"Egypt",1011,718,"*","*"
"El Salvador",902,"*",793,"*"
"Equatorial Guinea","*","*","*",0
"Eritrea","*","*","*","*"
"Estonia",1749,1187,555,"*"
"Ethiopia","*","*","*","*"
"Falkland Islands","*","*","*",0
"Faroe Islands","*","*","*",0
"Federated States of Micronesia","*","*","*","*"
"Fiji","*","*","*","*"
"Finland",54732,30919,19060,4753
"France",362918,334771,26559,1588
"French Guiana","*","*","*","*"
"French Polynesia","*","*","*","*"
"Gabon","*","*","*","*"
"Gambia","*","*","*",0
"Georgia","*","*","*","*"
"Germany",411672,371001,28684,11987
"Ghana","*","*","*","*"
"Gibraltar","*","*","*","*"
"Greece",3752,2958,776,"*"
"Grenada","*","*","*","*"
"Guadeloupe","*","*","*","*"
"Guatemala","*","*","*","*"
"Guernsey",58539,20852,19101,18586
"Guinea","*",0,"*",0
"Guinea-Bissau","*","*","*",0
"Guyana","*","*","*","*"
"Haiti","*","*","*","*"
"Holy See (Vatican)","*",0,"*","*"
"Honduras","*","*","*","*"
"Hong Kong",167598,118438,40536,8625
"Hungary",1415,"*",981,"*"
"Iceland",2107,611,1272,"*"
"India",12063,10421,1625,"*"
"Indonesia",2478,"*",2047,"*"
"Iran","*","*","*",0
"Iraq","*","*","*",0
"Ireland",841916,789137,44538,8241
"Isle of Man",3140,1990,1123,"*"
"Israel",106113,66862,34992,4259
"Italy",63800,59231,3247,1322
"Jamaica","*","*","*","*"
"Japan",837010,671731,159043,6236
"Jersey",23080,12168,5591,5321
"Jordan","*","*","*","*"
"Kazakhstan","*","*","*","*"
"Kenya","*","*","*","*"
"Kiribati","*","*","*",0
"Korea, South",386939,236294,76368,74277
"Kosovo","*","*","*",0
"Kuwait",278602,255529,17471,5602
"Kyrgyzstan","*","*","*",0
"Laos","*","*","*","*"
"Latvia","*","*","*","*"
"Lebanon","*","*","*","*"
"Lesotho","*","*","*",0
"Liberia",747,"*","*","*"
"Libya","*","*","*",0
"Liechtenstein",10789,9334,1025,"*"
"Lithuania","*","*","*","*"
"Luxembourg",1087613,985969,71213,30431
"Macau",2594,2488,"*","*"
"Macedonia","*","*","*","*"
"Madagascar","*","*","*","*"
"Malawi","*","*","*",0
"Malaysia",33564,29217,2666,1680
"Maldives","*","*","*","*"
"Mali","*","*",0,0
"Malta",2802,1593,1139,"*"
"Marshall Islands",1453,801,609,"*"
"Martinique","*","*","*","*"
"Mauritania","*","*","*",0
"Mauritius",1372,773,"*","*"
"Mexico",36295,9122,26663,510
"Moldova","*","*","*","*"
"Monaco",2336,1533,790,"*"
"Mongolia","*","*","*","*"
"Montenegro","*","*","*",0
"Montserrat","*","*","*","*"
"Morocco",2835,2483,"*","*"
"Mozambique","*","*","*","*"
"Namibia","*","*","*",0
"Nauru","*","*","*",0
"Nepal","*","*","*","*"
"Netherlands",320108,219610,75177,25320
"New Caledonia",1158,1108,"*",0
"New Zealand",42739,32471,8110,2158
"Nicaragua","*","*","*","*"
"Niger","*","*","*",0
"Nigeria","*","*","*","*"
"Niue","*","*","*",0
"Norway",510703,471325,39224,"*"
"Oman",10184,2215,7646,"*"
"Pakistan","*","*","*","*"
"Palau","*","*","*","*"
"Panama",17436,9166,7622,648
"Papua New Guinea","*","*","*",0
"Paraguay","*","*","*","*"
"Peru",5591,913,3979,699
"Philippines",3566,1016,2544,"*"
"Pitcairn Island","*","*",0,0
"Poland",2191,2005,"*","*"
"Portugal",9168,3963,5169,"*"
"Qatar",34013,27516,6265,"*"
"Reunion","*","*",0,0
"Romania","*","*","*","*"
"Russia",1015,712,"*","*"
"Rwanda","*","*","*",0
"Saint Kitts and Nevis",6344,2038,1666,2640
"Saint Lucia","*","*","*","*"
"Saint Martin and Saint Barthelemy","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*"
"Samoa","*","*","*","*"
"San Marino","*","*","*","*"
"Sao Tome and Principe","*",0,"*",0
"Saudi Arabia",184114,122547,38429,23137
"Senegal","*","*","*","*"
"Serbia","*","*","*",0
"Seychelles","*","*","*","*"
"Sierra Leone","*","*","*",0
"Singapore",408083,198569,76558,132956
"Sint Maarten","*","*","*","*"
"Slovakia","*","*","*","*"
"Slovenia",2501,2041,"*","*"
"Somalia","*","*",0,0
"South Africa",20313,15310,4219,783
"Spain",39598,33983,5278,"*"
"Sri Lanka","*","*","*","*"
"Sudan","*","*","*",0
"Suriname","*","*","*","*"
"Eswatini","*","*","*","*"
"Sweden",314673,289255,17145,8274
"Switzerland",682699,594544,81601,6554
"Syria","*","*","*","*"
"Taiwan",111893,58625,50115,3153
"Tajikistan","*","*","*",0
"Tanzania","*","*","*","*"
"Thailand",19776,8983,10101,692
"Togo","*","*","*",0
"Tokelau","*","*","*",0
"Tonga","*","*","*",0
"Trinidad and Tobago",4469,3364,1064,"*"
"Tunisia","*","*","*",0
"Turkey",1120,688,"*","*"
"Turkmenistan","*","*","*","*"
"Turks and Caicos Isl.",1183,"*",824,"*"
"Uganda","*","*","*","*"
"Ukraine","*","*","*","*"
"United Arab Emirates",146933,90604,35400,20928
"United Kingdom",1456902,1228648,141541,86713
"Uruguay",3477,1535,1839,"*"
"Uzbekistan","*","*","*","*"
"Vanuatu","*","*","*","*"
"Venezuela",3091,1962,993,"*"
"Vietnam","*","*","*","*"
"Wallis and Futuna","*","*",0,0
"West Bank and Gaza","*","*","*",0
"Western Sahara","*","*","*",0
"Yemen","*","*","*",0
"Zambia","*","*","*","*"
"Zimbabwe","*","*","*",0
"Int. and reg. org.",17291,6860,9419,1012
"Country Unknown",1284,"*","*","*"
""
"Total",13719016,10394190,2452022,872804
""
"of which: Holdings of foreign official"
"institutions",1554309,1279485,193315,81509
""
"Totals by Region:"
"Total Africa",30571,21971,7401,1199
"Total Asia",3061763,2167344,603949,290469
"Total Caribbean",1896850,937956,738655,220239
"Total Europe",6586594,5730571,625555,230468
"Total Latin America",145815,38650,101476,5688
"Canada",1458399,1118629,287008,52762
"Australia/Oceania",520449,371751,78107,70592
"Country Unknown",1284,"*","*","*"
"Int. and reg. org.",17291,6860,9419,1012
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
