"Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and"
"Type of Treasury Security, as of June 30, 2023"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"French Guiana","*","*","*",0,"*",0
"French Polynesia","*","*","*",0,0,"*"
"Gabon","*","*","*",0,0,"*"
"Gambia","*","*","*",0,0,"*"
"Georgia","*","*","*",0,0,"*"
"Germany",95093,82690,76178,6488,"*",12403
"Ghana",2063,2026,2026,0,0,"*"
"Gibraltar","*","*","*","*",0,"*"
"Greece",5060,3015,2961,"*",0,2045
"Grenada","*","*","*","*",0,"*"
"Guatemala",10693,10178,9986,"*","*",514
"Guernsey",8905,6667,6364,"*","*",2238
"Guinea-Bissau","*","*",0,"*",0,0
"Guyana","*","*","*",0,0,"*"
"Haiti","*","*","*",0,0,"*"
"Holy See (Vatican)","*","*","*",0,0,0
"Honduras",3700,3561,3528,"*","*","*"
"Hong Kong",198895,169150,161811,5847,1492,29745
"Hungary",764,558,551,"*",0,"*"
"Iceland",705,"*","*","*",0,"*"
"India",235107,232833,232833,"*",0,2274
"Indonesia",11119,9755,9740,"*",0,1364
"Iraq",33001,30617,30617,0,0,2384
"Ireland",276443,201747,169706,20429,11612,74696
"Isle of Man",1346,1075,1066,"*",0,"*"
"Israel",50462,46910,45329,1466,"*",3552
"Italy",46609,44162,42814,1310,"*",2447
"Jamaica",1106,824,822,"*",0,"*"
"Japan",1103501,1035416,1021402,13994,"*",68085
"Jersey",5154,2928,2016,838,"*",2226
"Jordan",2090,2088,2088,0,0,"*"
"Kazakhstan",15171,2299,2299,0,0,12872
"Kenya",3829,3809,3804,0,"*","*"
"Korea, South",114728,103029,98739,3773,518,11699
"Kosovo","*",0,0,0,0,"*"
"Kuwait",43589,40466,19018,21415,"*",3122
"Laos","*","*","*",0,0,0
"Latvia","*","*","*",0,0,"*"
"Lebanon","*","*","*",0,"*","*"
"Lesotho","*","*","*","*",0,"*"
"Liberia","*","*","*",0,0,"*"
"Libya",921,870,870,0,0,"*"
"Liechtenstein","*","*","*","*","*","*"
"Lithuania",2192,2142,1857,"*",0,"*"
"Luxembourg",329009,254941,228439,20737,5765,74069
"Macau",1216,1113,1062,"*",0,"*"
"Madagascar",708,708,708,0,0,0
"Malawi","*","*","*",0,0,0
"Malaysia",12115,11910,11036,874,0,"*"
"Maldives","*","*","*",0,0,0
"Malta",686,"*","*","*",0,"*"
"Marshall Islands",679,"*","*","*",0,598
"Mauritania","*","*","*","*",0,"*"
"Mauritius",1311,825,810,"*",0,"*"
"Mexico",70361,57234,49602,5341,2291,13127
"Moldova",2460,2455,2453,"*",0,"*"
"Monaco",852,634,590,"*",0,"*"
"Mongolia","*","*","*",0,0,"*"
"Montenegro","*","*","*",0,0,0
"Montserrat","*","*","*","*",0,"*"
"Morocco",3830,3789,3760,"*","*","*"
"Mozambique","*","*","*","*",0,"*"
"Namibia","*","*","*","*",0,"*"
"Nepal",1498,1248,1248,0,0,"*"
"Netherlands",74577,71954,70661,1291,"*",2624
"New Zealand",4871,4624,4452,"*",0,"*"
"Nicaragua","*","*","*",0,0,"*"
"Nigeria",5940,5908,5902,"*","*","*"
"Norway",126239,125914,116904,9010,0,"*"
"Oman",9137,7054,7023,"*",0,2083
"Pakistan","*","*","*",0,0,"*"
"Palau","*","*","*",0,0,"*"
"Panama",9475,3468,3364,"*","*",6007
"Papua New Guinea",604,544,544,0,0,"*"
"Paraguay",6482,6375,6367,"*",0,"*"
"Peru",33045,32396,32149,"*","*",649
"Philippines",49125,46994,39904,7090,0,2131
"Poland",47767,42523,42502,"*",0,5244
"Portugal",5840,5430,5193,"*","*","*"
"Qatar",20616,15881,15881,0,0,4735
"Romania",7852,7841,7841,"*",0,"*"
"Russia","*","*","*","*",0,"*"
"Rwanda",720,720,720,0,0,0
"Saint Kitts and Nevis",1733,687,675,"*","*",1046
"Saint Lucia","*","*","*","*",0,"*"
"Saint Pierre and Miquelon","*",0,0,0,0,"*"
"Saint Vincent and the Grenadines","*","*","*","*",0,"*"
"Samoa","*","*","*",0,0,"*"
"Sao Tome and Principe","*","*","*",0,0,0
"Saudi Arabia",110151,99818,93804,6014,0,10334
"Senegal","*","*","*",0,0,"*"
"Serbia",1820,1820,1752,"*",0,0
"Seychelles","*","*","*","*",0,"*"
"Sierra Leone","*",0,0,0,0,"*"
"Singapore",186589,178401,124663,53528,"*",8188
"Sint Maarten","*","*","*",0,0,"*"
"Slovakia",597,516,516,"*",0,"*"
"Slovenia","*","*","*",0,0,"*"
"Solomon Islands","*","*","*",0,0,0
"South Africa",16874,14125,11881,2227,"*",2749
"Spain",54215,51889,49879,2009,"*",2326
"Sri Lanka","*","*","*",0,0,"*"
"Suriname","*","*","*","*",0,"*"
"Eswatini","*","*","*","*",0,"*"
"Sweden",42447,41847,39370,2378,"*",600
"Switzerland",304315,242202,216115,25451,636,62114
"Taiwan",241098,236076,229289,6754,"*",5021
"Tajikistan","*","*","*","*",0,"*"
"Tanzania",1822,1821,1821,0,0,"*"
"Thailand",62469,46296,39316,6702,"*",16173
"Togo","*","*","*",0,0,0
"Trinidad and Tobago",3654,2274,2252,"*",0,1380
"Tunisia","*","*","*","*",0,"*"
"Turkey",2260,1671,1671,0,0,589
"Turks and Caicos Isl.","*","*","*","*",0,"*"
"Uganda",938,"*","*","*",0,"*"
"Ukraine",21716,18845,18845,0,0,2871
"United Arab Emirates",65387,45455,44319,1137,0,19932
"United Kingdom",670026,580349,498119,75263,6967,89677
"Uruguay",16215,8427,8368,"*","*",7788
"Uzbekistan","*","*","*","*",0,"*"
"Vanuatu","*","*","*",0,0,"*"
"Venezuela",805,"*","*","*",0,"*"
"Vietnam",33621,33592,33592,"*",0,"*"
"West Bank and Gaza","*",0,0,0,0,"*"
"Yemen","*","*","*",0,0,0
"Zambia","*","*","*","*",0,"*"
"Int. and reg. org.",73929,62510,54125,8366,"*",11419
"Country Unknown","*","*","*",0,0,"*"
""
"Total",7613158,6638762,6022738,562954,53071,974396
""
"of which: Holdings of foreign official"
"institutions",3761582,3543978,3217488,318076,8415,217604
""
"Totals by Region:"
"Total Africa",64030,38171,35652,2489,"*",25860
"Total Asia",3442793,3244403,2975184,266508,2712,198390
"Total Caribbean",451176,248996,212678,31085,5233,202180
"Total Europe",2773230,2325018,2086201,200516,38300,448213
"Total Latin America",471544,422519,388863,27199,6458,49025
"Canada",273825,247866,222757,24986,"*",25959
"Australia/Oceania",62470,49239,47237,1806,"*",13232
"Country Unknown","*","*","*",0,0,"*"
"Int. and reg. org.",73929,62510,54125,8366,"*",11419
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less."
""
""
""
