"Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as"
"of June 30, 2023"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Lithuania",2781,"*",2566,2142,"*","*","*"
"Luxembourg",2094415,1087613,877430,254941,38799,583691,129372
"Macau",5781,2594,3049,1113,"*",1438,"*"
"Macedonia","*","*",0,0,0,0,0
"Madagascar",726,"*",709,708,"*","*",0
"Malawi","*","*","*","*",0,"*",0
"Malaysia",65840,33564,32072,11910,17383,2779,"*"
"Maldives","*","*","*","*",0,0,0
"Mali","*","*",0,0,0,0,0
"Malta",4532,2802,1493,"*","*",1016,"*"
"Marshall Islands",2572,1453,"*","*","*","*",676
"Martinique","*","*","*",0,0,"*",0
"Mauritania","*","*","*","*","*","*","*"
"Mauritius",2876,1372,1017,825,"*","*","*"
"Mexico",125813,36295,75325,57234,10969,7123,14193
"Moldova",2471,"*",2458,2455,"*",0,"*"
"Monaco",3561,2336,1005,634,"*","*","*"
"Mongolia","*","*","*","*","*",0,"*"
"Montenegro","*","*","*","*",0,"*",0
"Montserrat","*","*","*","*","*","*","*"
"Morocco",6673,2835,3798,3789,"*","*","*"
"Mozambique",506,"*",500,"*","*","*","*"
"Namibia",664,"*","*","*","*","*","*"
"Nauru","*","*",0,0,0,0,0
"Nepal",1501,"*",1249,1248,"*","*","*"
"Netherlands",477652,320108,153530,71954,16071,65506,4014
"New Caledonia",1354,1158,"*",0,0,"*",0
"New Zealand",51515,42739,8416,4624,676,3116,"*"
"Nicaragua","*","*","*","*","*","*","*"
"Niger","*","*",0,0,0,0,0
"Nigeria",6858,"*",6610,5908,597,"*","*"
"Niue","*","*",0,0,0,0,0
"Norway",693445,510703,181588,125914,"*",55581,1154
"Oman",20054,10184,7766,7054,"*",700,2104
"Pakistan","*","*","*","*","*","*","*"
"Palau","*","*","*","*","*","*","*"
"Panama",39533,17436,13546,3468,858,9220,8551
"Papua New Guinea",606,"*",544,544,0,"*","*"
"Paraguay",6865,"*",6529,6375,"*","*","*"
"Peru",43687,5591,36748,32396,1630,2722,1348
"Philippines",53814,3566,48112,46994,512,605,2136
"Pitcairn Island","*","*",0,0,0,0,0
"Poland",51285,2191,43849,42523,"*",1325,5245
"Portugal",16077,9168,6493,5430,"*",1062,"*"
"Qatar",55558,34013,16805,15881,"*",713,4740
"Reunion","*","*",0,0,0,0,0
"Romania",8628,"*",8165,7841,"*","*","*"
"Russia",1107,1015,"*","*","*","*","*"
"Rwanda",738,"*",736,720,"*","*","*"
"Saint Kitts and Nevis",9794,6344,2393,687,"*",1659,1057
