"Table A2.  Foreign Holdings of U.S. Equities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Malaysia",10,13,14,14,19,27,28,34
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta",1,1,1,1,1,2,2,3
"Marshall Islands",1,1,1,1,1,2,1,1
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",1,4,1,1,1,1,2,1
"Mayotte",0,0,0,0,0,0,"*",0
"Mexico",36,47,58,24,28,40,36,36
"Moldova","*","*","*","*","*","*","*","*"
"Monaco",2,1,1,1,1,2,2,2
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro","*","*","*","*","*","*","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco","*","*","*","*",1,1,2,3
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia",1,1,1,1,"*","*","*","*"
"Nauru","*","*","*","*","*","*","*","*"
"Nepal","*","*","*","*","*","*","*","*"
"Netherlands",210,254,280,284,264,354,305,320
"New Caledonia","*","*","*","*","*","*","*",1
"New Zealand",12,19,23,27,30,47,43,43
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria","*","*","*","*","*","*","*","*"
"Niue",0,0,"*","*",0,"*","*","*"
"Norway",201,239,277,309,325,446,386,511
"Oman",6,7,10,10,7,10,9,10
"Pakistan","*","*","*","*","*","*","*","*"
"Palau","*","*","*","*","*","*","*","*"
"Panama",11,12,12,14,14,20,17,17
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",9,11,12,13,8,8,8,6
"Philippines",2,3,3,4,3,4,5,4
"Pitcairn Island","*","*","*","*","*",0,0,"*"
"Poland",3,2,2,1,1,3,2,2
"Portugal",3,3,4,5,6,8,7,9
"Qatar",5,3,3,13,17,28,25,34
"Reunion","*","*","*","*","*","*","*","*"
"Romania","*","*","*","*","*","*","*","*"
"Russia","*","*","*","*","*",1,1,1
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Helena",0,0,0,0,"*","*",0,0
"Saint Kitts and Nevis",1,2,2,6,6,7,6,6
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin and Saint Barthelemy","*","*","*","*","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*",1,"*"
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe",0,0,"*","*","*","*","*","*"
"Saudi Arabia",35,46,57,93,133,182,181,184
"Senegal","*","*","*","*","*","*","*","*"
"Serbia","*","*","*","*","*","*","*","*"
"Seychelles","*","*","*","*","*",1,"*","*"
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",136,167,180,180,169,327,323,408
"Sint Maarten","*","*","*","*","*","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia",1,1,1,1,1,2,2,3
"Solomon Islands","*","*","*","*","*","*","*",0
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",9,10,12,12,12,18,16,20
"South Sudan","*","*","*",0,0,"*","*",0
"Spain",13,18,18,21,23,39,35,40
"Sri Lanka","*","*","*","*","*","*","*","*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Eswatini","*","*","*","*","*","*","*","*"
"Sweden",117,130,164,180,194,307,274,315
"Switzerland",351,413,452,450,496,759,628,683
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",43,56,65,68,79,110,100,112
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania","*","*","*","*","*","*","*","*"
"Thailand",2,3,6,11,16,27,19,20
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*","*","*","*","*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago",2,3,3,4,3,4,4,4
"Tunisia",1,1,1,1,1,1,"*","*"
"Turkey",1,1,1,1,1,1,1,1
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Isl.","*","*","*",1,1,1,1,1
"Tuvalu",0,0,0,0,"*",0,0,0
"Uganda","*","*","*","*","*","*","*","*"
"Ukraine","*","*",3,"*","*","*","*","*"
"United Arab Emirates",87,80,89,101,127,134,130,147
"United Kingdom",741,844,924,1002,1019,1540,1312,1457
"Uruguay",2,2,3,2,3,5,3,3
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",3,3,3,4,3,4,3,3
"Vietnam","*","*","*","*","*","*","*","*"
"Wallis and Futuna","*","*","*","*",0,0,"*","*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara",0,0,0,0,0,"*","*","*"
"Yemen","*","*","*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"Int. and reg. org.",4,5,5,9,9,13,14,17
"Country Unknown","*",1,1,1,1,1,1,1
"Total",6186,7189,8139,8630,9168,13705,12177,13719
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
""
