,Total,Equities,Total LT Debt,LT Debt Treasury,LT Debt Agency,LT Debt Corp,ST Debt
Ireland,1476226.34,841916.26,485847.15,201747.42,36595.56,247504.16,148462.93
Isle of Man,4903.75,3139.58,1376.29,1075.36,*,*,*
Israel,170093.73,106112.97,59310.64,46909.70,3684.77,8716.17,4670.12
Italy,126997.31,63799.81,60733.15,44162.08,721.57,15849.50,2464.34
Jamaica,1686.57,*,1120.93,823.76,*,*,*
Japan,2494468.99,837009.53,1588143.38,1035415.60,252779.63,299948.15,69316.08
Jersey,32186.23,23080.23,6779.65,2928.03,*,3509.93,2326.36
Jordan,2195.30,*,2097.23,2087.61,*,*,*
Kazakhstan,15907.50,*,2704.12,2299.19,*,*,12872.29
Kenya,3899.91,*,3819.11,3809.30,*,*,*
Kiribati,*,*,0.00,0.00,0.00,0.00,0.00
"Korea, South",585193.29,386938.80,186171.31,103029.38,36556.38,46585.55,12083.18
Kosovo,*,*,*,0.00,0.00,*,*
Kuwait,375080.64,278601.67,71004.60,40466.49,3815.82,26722.29,25474.36
Kyrgyzstan,*,*,0.00,0.00,0.00,0.00,0.00
Laos,*,*,*,*,0.00,0.00,*
Latvia,4744.91,*,4233.15,*,3740.44,*,*
Lebanon,*,*,*,*,*,*,*
Lesotho,*,*,*,*,*,0.00,*
Liberia,1167.08,747.48,*,*,*,*,*
Libya,1179.42,*,1127.49,870.20,0.00,*,*
Liechtenstein,12059.96,10788.72,1087.53,*,*,771.58,*
Lithuania,2780.78,*,2565.94,2141.52,*,*,*
Luxembourg,2094415.29,1087613.05,877430.38,254940.66,38799.01,583690.71,129371.86
Macau,5780.61,2594.20,3049.33,1112.98,*,1438.11,*
Macedonia,*,*,0.00,0.00,0.00,0.00,0.00
Madagascar,725.94,*,709.48,707.68,*,*,0.00
Malawi,*,*,*,*,0.00,*,0.00
Malaysia,65839.81,33563.52,32071.52,11909.95,17382.60,2778.97,*
Maldives,*,*,*,*,0.00,0.00,0.00
Mali,*,*,0.00,0.00,0.00,0.00,0.00
Malta,4531.77,2801.82,1493.40,*,*,1016.41,*
Marshall Islands,2571.70,1452.51,*,*,*,*,675.67
Martinique,*,*,*,0.00,0.00,*,0.00
Mauritania,*,*,*,*,*,*,*
Mauritius,2875.67,1371.76,1016.75,825.35,*,*,*
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,125813.41,36294.99,75325.31,57233.57,10969.09,7122.66,14193.11
Moldova,2470.82,*,2457.54,2455.07,*,0.00,*
Monaco,3560.56,2335.98,1004.53,634.06,*,*,*
Mongolia,*,*,*,*,*,0.00,*
Montenegro,*,*,*,*,0.00,*,0.00
Montserrat,*,*,*,*,*,*,*
