,LT,Equities,Treasury,Agcy NonABS,Agcy ABS,Corp NonABS,Corp ABS
Israel,165423.61,106112.97,46909.70,1034.80,2649.97,8418.12,*
Italy,124532.96,63799.81,44162.08,*,689.56,15774.24,*
Jamaica,1403.59,*,823.76,*,0.00,*,0.00
Japan,2425152.91,837009.53,1035415.60,1216.10,251563.53,281854.99,18093.16
Jersey,29859.88,23080.23,2928.03,*,*,3187.33,*
Jordan,2192.35,*,2087.61,*,0.00,*,0.00
Kazakhstan,3035.22,*,2299.19,*,0.00,*,0.00
Kenya,3880.03,*,3809.30,*,0.00,*,0.00
Kiribati,*,*,0.00,0.00,0.00,0.00,0.00
"Korea, South",573110.11,386938.80,103029.38,2630.60,33925.78,43287.26,3298.29
Kosovo,*,*,0.00,0.00,0.00,*,0.00
Kuwait,349606.27,278601.67,40466.49,*,3473.85,24068.33,2653.96
Kyrgyzstan,*,*,0.00,0.00,0.00,0.00,0.00
Laos,*,*,*,0.00,0.00,0.00,0.00
Latvia,4717.49,*,*,*,3732.14,*,*
Lebanon,*,*,*,0.00,*,*,0.00
Lesotho,*,*,*,*,0.00,0.00,0.00
Liberia,1046.61,747.48,*,*,0.00,*,0.00
Libya,1129.07,*,870.20,0.00,0.00,*,0.00
Liechtenstein,11876.25,10788.72,*,*,*,771.34,*
Lithuania,2730.10,*,2141.52,0.00,*,*,0.00
Luxembourg,1965043.43,1087613.05,254940.66,2957.22,35841.79,564447.02,19243.69
Macau,5643.53,2594.20,1112.98,*,*,1351.36,*
Macedonia,*,*,0.00,0.00,0.00,0.00,0.00
Madagascar,725.94,*,707.68,*,0.00,*,0.00
Malawi,*,*,*,0.00,0.00,*,0.00
Malaysia,65635.04,33563.52,11909.95,*,17001.21,2777.01,*
Maldives,*,*,*,0.00,0.00,0.00,0.00
Mali,*,*,0.00,0.00,0.00,0.00,0.00
Malta,4295.22,2801.82,*,*,*,1012.68,*
Marshall Islands,1896.04,1452.51,*,*,*,*,*
Martinique,*,*,0.00,0.00,0.00,*,0.00
Mauritania,*,*,*,*,0.00,*,0.00
Mauritius,2388.51,1371.76,825.35,*,*,*,0.00
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,111620.30,36294.99,57233.57,2255.85,8713.24,6882.91,*
Moldova,2465.82,*,2455.07,*,0.00,0.00,0.00
Monaco,3340.51,2335.98,634.06,*,0.00,*,*
Mongolia,*,*,*,*,0.00,0.00,0.00
Montenegro,*,*,*,0.00,0.00,*,0.00
Montserrat,*,*,*,*,0.00,*,0.00
Morocco,6633.06,2835.19,3789.41,*,0.00,*,0.00
Mozambique,501.76,*,*,*,0.00,*,0.00
Namibia,659.46,*,*,*,*,*,*
Nauru,*,*,0.00,0.00,0.00,0.00,0.00
Nepal,1251.95,*,1248.36,*,0.00,*,0.00
Netherlands,473637.79,320107.63,71953.63,*,15656.06,64544.87,960.82
Netherlands Antilles,*,*,*,NA,NA,NA,NA
New Caledonia,1353.88,1157.85,0.00,0.00,0.00,*,0.00
New Zealand,51154.71,42739.01,4623.60,*,630.06,2934.44,*
Nicaragua,*,*,*,*,0.00,*,*
Niger,*,*,0.00,0.00,0.00,0.00,0.00
Nigeria,6817.44,*,5907.89,*,*,*,*
Niue,*,*,0.00,0.00,0.00,0.00,0.00
Norway,692291.40,510703.13,125914.19,*,*,55216.87,*
Oman,17949.70,10184.04,7053.82,*,*,684.70,*
Pakistan,*,*,*,0.00,*,*,0.00
Palau,*,*,*,*,*,*,*
Panama,30982.09,17435.91,3467.90,*,743.92,8824.40,*
Papua New Guinea,546.46,*,544.10,0.00,0.00,*,0.00
Paraguay,6727.66,*,6374.90,*,0.00,*,0.00
Peru,42339.03,5590.92,32395.97,1482.27,*,2722.15,*
Philippines,51677.74,3565.98,46994.38,*,*,603.63,*
Pitcairn Island,*,*,0.00,0.00,0.00,0.00,0.00
Poland,46040.04,2191.43,42523.44,*,*,1324.80,0.00
Portugal,15661.16,9168.10,5430.21,*,*,1060.40,*
Qatar,50817.92,34013.29,15880.72,*,*,600.91,*
Reunion,*,*,0.00,0.00,0.00,0.00,0.00
Romania,8617.23,*,7841.49,*,0.00,*,*
Russia,1097.01,1015.08,*,*,0.00,*,0.00
Rwanda,737.36,*,719.97,*,0.00,*,0.00
