                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as
of June 30, 2023
 Millions of dollars
                                                                                                               of which: Commercial Paper
                                                                                                 Total                        Asset-backed
 Countries and Regions                         Total ST         Treasury         Agency        Corporate        Total CP           CP
  Senegal                                                   *               *               0               0               0               0
  Serbia                                                    *               0               0               *               0               0
  Seychelles                                                *               *               *               *               0               0
  Sierra Leone                                              *               *               0               0               0               0
  Singapore                                              9174            8188               *             840               *               0
  Sint Maarten                                              *               *               0               *               0               0
  Slovakia                                                  *               *               0               0               0               0
  Slovenia                                                  *               *               0               0               0               0
  South Africa                                           2751            2749               0               *               0               0
  Spain                                                  2462            2326               *               *               *               0
  Sri Lanka                                                 *               *               0               *               0               0
  Suriname                                                  *               *               0               *               0               0
  Eswatini                                                  *               *               *               0               0               0
  Sweden                                                  603             600               0               *               0               0
  Switzerland                                           63196           62114               *            1035             814               0
  Taiwan                                                 5960            5021               *             914               *               0
  Tajikistan                                                *               *               *               *               0               0
  Tanzania                                                  *               *               0               0               0               0
  Thailand                                              16200           16173               *               *               *               0
  Trinidad and Tobago                                    1576            1380               *               *               *               0
  Tunisia                                                   *               *               0               0               0               0
  Turkey                                                  615             589               0               *               *               0
  Turks and Caicos Isl.                                     *               *               *               *               *               0
  Uganda                                                    *               *               *               0               0               0
  Ukraine                                                2889            2871               *               0               0               0
  United Arab Emirates                                  20199           19932               *               *               *               0
  United Kingdom                                        99031           89677               *            9059            3482               0
  Uruguay                                                8766            7788               0             978             795               0
  Uzbekistan                                                *               *               *               0               0               0
  Vanuatu                                                   *               *               0               0               0               0
  Venezuela                                               500               *               *               *               *               0
  Vietnam                                                   *               *               0               *               0               0
  West Bank and Gaza                                        *               *               0               0               0               0
  Zambia                                                    *               *               *               0               0               0
  Int. and reg. org.                                    20500           11419             609            8472            3633               0
  Country Unknown                                           *               *               *               *               0               0

  Total                                               1185507          974396           16322          194790           91816               0

  of which: Holdings of foreign official
  institutions                                         223933          217604             609            5720            3604               0

  Totals by Region:
  Total Africa                                          25887           25860               *               *               *               0
  Total Asia                                           227306          198390            1262           27654           18401               0
  Total Caribbean                                      216738          202180            3250           11308            6381               0
  Total Europe                                         594747          448213            9884          136651           56753               0
  Total Latin America                                   55629           49025               *            6498            3950               0
  Canada                                                29906           25959             959            2988            2302               0
  Australia/Oceania                                     14672           13232               *            1193               *               0
  Country Unknown                                           *               *               *               *               0               0
  Int. and reg. org.                                    20500           11419             609            8472            3633               0


* Greater than zero but less than $500 million.
n.a. Not available.



