quarter,usd_share_pct_allocated,allocated_total_usd_bn,source
2018-Q4,62.065,11422.259,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q1,62.2066,11602.088,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q2,61.7317,11729.931,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q3,62.0501,11644.414,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q4,61.3203,11815.395,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2020-Q1,62.3212,11687.657,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2020-Q2,61.8753,12017.506,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2020-Q3,61.0066,12243.933,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2020-Q4,59.5283,12693.933,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2021-Q1,60.0629,12569.683,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2021-Q2,59.846,12796.902,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2021-Q3,59.8715,12822.87,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2021-Q4,59.4025,12914.128,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2022-Q1,59.4175,12510.609,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2022-Q2,59.9952,11975.112,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
