FREQ,Frequency,ISSUER_RES,Issuer residence,ISSUER_NAT,Issuer nationality,ISSUER_BUS_IMM,Issuer sector - immediate borrower,ISSUER_BUS_ULT,Issuer sector - ultimate borrower,MARKET,Issue market,ISSUE_TYPE,Issue type,ISSUE_CUR_GROUP,Issue currency group,ISSUE_CUR,Issue currency,ISSUE_OR_MAT,Original maturity,ISSUE_RE_MAT,Remaining maturity,ISSUE_RATE,Rate type,ISSUE_RISK,Default risk (for future expansion),ISSUE_COL,Collateral type (for future expansion),MEASURE,Measure,DECIMALS,Decimals,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,COLLECTION,Collection Indicator,TIME_FORMAT,Time Format,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,OBS_PRE_BREAK,OBS_CONF,Observation confidentiality
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2022-Q2,1199987,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2022-Q3,1162102,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2022-Q4,1174883,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q1,1146143,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q2,1113530,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q3,1083774,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q4,1092215,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q1,1069351,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q2,1052534,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q3,1064538,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q4,1034502,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q1,1017736,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q2,1004860,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q3,998290,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q4,1004645,A,Normal value,,F,Free
Q,Quarterly,3P,All countries excluding residents,CN,China,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2026-Q1,1004076,A,Normal value,,F,Free
