"Table A2.  Value of foreign holdings of U.S. long-term securities, by country and type of"
"security, as of June 30, 2015"
"Millions of dollars"
"","Total","","","Agen","cy","Corpo","rate"
"Countries and Regions","LT","Equities","Treasury","NonABS","ABS","NonABS","ABS"
"Malta",1560,530,314,10,0,706,"*"
"Marshall Islands",1068,1017,4,1,1,42,1
"Martinique",2,1,0,"*",0,1,0
"Mauritania",107,"*",106,0,0,0,0
"Mauritius",7378,5997,927,34,5,363,52
"Mayotte",1,1,0,0,0,"*",0
"Mexico",141600,41483,77633,12968,3548,3912,2055
"Moldova",388,3,385,0,0,"*",0
"Monaco",1913,1577,251,"*",32,32,21
"Mongolia",146,1,146,0,0,0,0
"Montenegro (1)",1,1,0,0,0,0,0
"Montserrat",17,17,0,0,0,0,0
"Morocco",1747,116,1616,3,"*",11,"*"
"Mozambique",454,4,189,0,0,234,27
"Namibia",548,486,62,0,0,"*",0
"Nauru",4,4,0,0,0,0,0
"Nepal",612,13,598,0,0,1,0
"Netherlands",308951,202403,33782,1046,9420,55868,6433
"New Caledonia",1,1,0,0,0,1,0
"New Zealand",19324,12750,4237,76,507,1578,176
"Nicaragua",495,166,207,61,"*",62,"*"
"Niger",1,1,0,0,0,"*",0
"Nigeria",3485,231,2986,108,5,155,0
"Niue","*","*",0,0,0,0,0
"Norway",307924,198568,66003,107,4,41793,1450
"Oman",21742,6517,14851,39,57,242,36
"Pakistan",1404,87,1151,0,"*",165,"*"
"Palau",181,130,20,8,6,16,"*"
"Panama",16999,10743,478,224,1021,4374,159
"Papua New Guinea",21,1,20,0,0,0,0
"Paraguay",183,126,9,4,1,44,0
"Peru",27650,11049,11594,2911,3,2072,21
"Philippines",41766,1919,39254,1,19,572,1
"Pitcairn Island","*","*",0,0,0,0,0
"Poland",31645,2713,28219,281,0,432,"*"
"Portugal",5585,2628,2312,112,106,427,"*"
"Qatar",2006,805,1200,0,0,1,0
"Reunion","*","*",0,0,0,0,0
"Romania",2125,47,1970,"*","*",108,0
"Russia",72894,412,71991,"*",1,488,2
"Rwanda",134,"*",133,0,0,"*",0
"Saint Kitts and Nevis",2177,1202,532,52,7,382,2
"Saint Lucia",246,147,5,1,"*",92,"*"
"Saint Martin & Saint Barthelemy (1)",5,5,0,0,0,"*",0
"Saint Vincent and the Grenadines",32,30,"*","*",0,3,0
"Samoa",81,72,0,1,0,8,"*"
"San Marino","*","*",0,0,0,0,0
"Saudi Arabia",178507,52443,106702,899,5583,8400,4480
