"Table A3.  Value of foreign holdings of U.S. Treasury debt securities, by country and"
"type of Treasury security, as of June 30, 2015"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"Countries and Regions","Total","Total","Nominal","TIPS","FRN","ST debt**"
"Switzerland",216550,191298,172998,16740,1561,25252
"Taiwan",175455,173831,161676,11958,197,1624
"Tanzania",1534,1534,1534,0,0,0
"Thailand",31420,12557,10763,1794,0,18864
"Trinidad and Tobago",3840,3156,3076,63,18,683
"Tunisia",218,218,218,0,0,0
"Turkey",75836,18687,18687,"*",0,57149
"Turks and Caicos Islands",26,24,24,"*",0,3
"Uganda",668,412,397,5,10,256
"Ukraine",4074,4074,4074,0,0,0
"United Arab Emirates",70237,59299,39441,15096,4762,10937
"United Kingdom",204220,172382,146003,24971,1408,31838
"Uruguay",7039,6796,5996,799,1,243
"Uzbekistan",1,1,1,0,0,0
"Vanuatu",7,0,0,0,0,7
"Venezuela",260,222,214,8,"*",38
"Vietnam",13594,13594,13594,0,0,0
"Yemen",642,642,622,0,20,0
"Zambia",232,232,211,0,21,0
"International and regional organizations",65347,61083,54996,4894,1194,4264
"Country Unknown","*","*","*",0,0,0
""
"Total",6147018,5449911,4810170,508158,131583,697107
""
"of which: Holdings of foreign official"
"institutions",4172662,3806035,3345530,347709,112795,366627
""
"Totals by Region:"
"Total Africa",27757,24852,24670,102,80,2905
"Total Asia",3550382,3311813,2933741,316414,61658,238569
"Total Caribbean",318565,201677,141039,53813,6825,116888
"Total Europe",1642361,1373698,1259470,99007,15221,268663
"Total Latin America",435695,400217,334932,19474,45811,35478
"Canada",67827,47727,38775,8421,531,20101
"Australia/Oceania",39084,28845,22547,6035,263,10239
"Country Unknown","*","*","*",0,0,0
"International and regional organizations",65347,61083,54996,4894,1194,4264
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
