                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Value of foreign holdings of U.S. equities, by country and type of equities,
as of June 30, 2016
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  institutions                                         821346          727636           60077           33633

  Totals by Region:
  Total Africa                                          14083            9404            3838             842
  Total Asia                                          1261524          953534          213484           94506
  Total Caribbean                                     1031377          550519          302430          178428
  Total Europe                                        2887207         2426063          339665          121478
  Total Latin America                                  107524           25212           78009            4303
  Canada                                               695440          561843          105152           28446
  Australia/Oceania                                    184434          136847           28435           19153
  Country Unknown                                         199              68              67              64
  International and regional organizations               3786            1412            2024             350


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



