naics_code,industry_classification,total,equity,debt_long_term,debt_short_term
"21"," Mining, quarrying, and oil and gas extraction","272","158","113","1"
"2111"," Oil and gas extraction","174","102","71","1"
"2122"," Metal ore mining","29","17","12","0"
"213111-213112"," Oil and gas well drilling and support","51","26","25","*"
"213114"," Support activities for metal mining","2","1","2","0"
""," Other","15","12","3","*"
"22-23"," Utilities and construction","317","178","138","1"
"2211"," Electric power generation and distribution","226","119","105","1"
"2212"," Natural gas distribution","48","36","12","*"
"2213"," Water, sewage, and other systems","8","6","2","*"
"23"," Construction","36","17","19","0"
"31"," Consumer goods manufacturing","478","304","172","2"
"311"," Food manufacturing","148","92","55","1"
"3121"," Beverage manufacturing","172","95","76","1"
"3122"," Tobacco product manufacturing","111","74","37","*"
""," Other","48","44","4","*"
"325"," Chemical manufacturing","680","499","174","7"
"3254"," Pharmaceutical and medicine manufacturing","483","362","120","1"
""," Other","196","136","54","6"
"326-333"," Other primary and machinery manufacturing","297","173","125","*"
"331"," Primary metal manufacturing","25","12","13","*"
"333"," Machinery manufacturing","209","120","89","*"
""," Other","64","41","23","*"
"334-335"," Computer and electronic product manufacturing","607","451","155","1"
"3341"," Computer and peripheral equipment manufacturing","271","199","71","1"
"3342"," Communications equipment manufacturing","26","13","13","0"
"3344"," Semiconductor and other electronic component mfg.","156","119","36","*"
"3345"," Navigational, measuring, electromed., control instr. mfg.","114","88","26","*"
"335"," Electrical equipment, appliance, and component mfg.","36","27","9","1"
""," Other","4","4","*","*"
"336-339"," All other manufacturing","413","245","166","3"
"3361"," Motor vehicle manufacturing","152","33","118","1"
"3363"," Motor vehicle parts manufacturing","45","40","4","2"
"3364"," Aircraft manufacturing","56","46","10","*"
"3365-3369"," Rail, ship, and other transportation manufacturing","9","6","3","0"
"3391"," Medical equipment and supplies manufacturing","119","96","23","*"
""," Other","32","24","8","*"
"42"," Wholesale trade","144","107","37","*"
"423"," Merchant wholesalers, durable goods","49","32","17","*"
"424-425"," Merchant wholesalers, nondurable goods","94","75","20","*"
"44-45"," Retail trade","469","357","110","1"
"445"," Food and beverage stores","22","15","7","*"
"448"," Clothing and clothing accessories stores","47","41","6","0"
""," Other","400","301","97","1"
"48-49"," Transportation and cargo","188","105","83","1"
"481"," Air transportation","28","20","8","0"
"482"," Rail transportation","47","30","17","*"
"483"," Water transportation","2","1","1","*"
"486"," Pipeline transportation","57","18","39","*"
"488"," Support activities for transportation","12","7","5","0"
""," Other","42","28","13","1"
"511-515"," Publishing and broadcasting","529","380","148","1"
"511"," Publishing industries (except internet)","278","218","59","1"
"512"," Motion picture and sound recording industries","76","60","16","0"
"515"," Broadcasting (except internet)","175","102","73","*"
"517-519"," Telecommunications and information services","549","366","181","1"
"5171"," Wired telecommunications carriers","26","8","18","*"
"5172"," Wireless telecommunications carriers (except satellite)","28","7","22","*"
"5179"," Other telecommunications","229","107","121","1"
"519"," Other information services","211","203","8","*"
""," Other","54","42","12","0"
"5221"," Depository credit intermediation (banking)","824","276","491","57"
"5222-5239"," Other financial","2,069","373","1,646","50"
"522292"," Real estate credit","656","5","628","23"
"52239"," Other credit intermed","588","1","587","1"
"5231"," Inv. banking","295","81","209","5"
""," Other","530","286","222","22"
"524"," Insurance","336","237","98","1"
"525"," Funds, trusts, and other financial vehicles","1,274","1,208","60","5"
"53-81"," Services","795","518","273","4"
"531"," Real estate rental and leasing","111","65","46","*"
"5413"," Architectural, engineering, and related services","8","5","2","0"
"5415"," Computer systems design and related services","112","84","28","0"
"5416"," Management, scientific, and technical consulting services","29","21","8","*"
"5511"," Offices of bank and other holding companies","10","7","3","0"
"561"," Administrative and support services","123","86","33","3"
"61-62"," Education, health care, and social services","81","39","41","1"
"71"," Arts, entertainment, and recreation","22","11","11","0"
"72"," Accommodation and food services","133","97","35","*"
""," Other","167","101","65","*"
"92","Government$^{2}$","6,303","*","5,620","683"
""," Industry classification unknown","386","96","202","88"
""," All other industries","177","131","45","*"
""," Total","17,139","6,186","10,044","909"
