naics_code,industry_classification,total,equity,debt_long_term,debt_short_term
"21"," Mining, quarrying, and oil and gas extraction","312","196","116","*"
"2111"," Oil and gas extraction","205","127","78","*"
"2122"," Metal ore mining","26","14","11","0"
"213111-213112"," Oil and gas well drilling and support","54","34","20","*"
"213114"," Support activities for metal mining","2","*","2","0"
""," Other","25","20","5","0"
"22-23"," Utilities and construction","276","153","120","2"
"2211"," Electric power generation and distribution","188","97","89","2"
"2212"," Natural gas distribution","43","32","10","*"
"2213"," Water, sewage, and other systems","3","1","2","*"
"23"," Construction","38","19","19","*"
"31"," Consumer goods manufacturing","408","271","133","4"
"311"," Food manufacturing","135","88","46","2"
"3121"," Beverage manufacturing","132","82","48","2"
"3122"," Tobacco product manufacturing","92","56","35","*"
""," Other","49","45","4","*"
"325"," Chemical manufacturing","712","554","150","7"
"3254"," Pharmaceutical and medicine manufacturing","508","407","100","1"
""," Other","204","147","51","6"
"326-333"," Other primary and machinery manufacturing","346","203","141","2"
"331"," Primary metal manufacturing","29","16","12","*"
"333"," Machinery manufacturing","257","145","109","2"
""," Other","60","41","19","*"
"334-335"," Computer and electronic product manufacturing","682","558","123","1"
"3341"," Computer and peripheral equipment manufacturing","310","259","51","1"
"3342"," Communications equipment manufacturing","27","16","11","*"
"3344"," Semiconductor and other electronic component mfg.","180","151","30","*"
"3345"," Navigational, measuring, electromed., control instr. mfg.","106","83","23","*"
"335"," Electrical equipment, appliance, and component mfg.","48","39","9","*"
""," Other","11","11","*","*"
"336-339"," All other manufacturing","392","239","149","4"
"3361"," Motor vehicle manufacturing","155","43","109","3"
"3363"," Motor vehicle parts manufacturing","44","40","3","1"
"3364"," Aircraft manufacturing","54","48","7","*"
"3365-3369"," Rail, ship, and other transportation manufacturing","10","7","2","*"
"3391"," Medical equipment and supplies manufacturing","91","72","19","*"
""," Other","37","29","9","*"
"42"," Wholesale trade","130","101","29","*"
"423"," Merchant wholesalers, durable goods","43","29","14","*"
"424-425"," Merchant wholesalers, nondurable goods","87","72","14","*"
"44-45"," Retail trade","476","385","91","*"
"445"," Food and beverage stores","21","15","6","*"
"448"," Clothing and clothing accessories stores","54","49","5","0"
""," Other","401","321","80","*"
"48-49"," Transportation and cargo","197","128","67","1"
"481"," Air transportation","33","27","7","0"
"482"," Rail transportation","49","38","11","*"
"483"," Water transportation","4","2","2","*"
"486"," Pipeline transportation","63","27","35","*"
"488"," Support activities for transportation","10","6","5","0"
""," Other","38","29","8","*"
"511-515"," Publishing and broadcasting","587","448","138","1"
"511"," Publishing industries (except internet)","277","226","51","*"
"512"," Motion picture and sound recording industries","96","83","13","0"
"515"," Broadcasting (except internet)","214","140","73","*"
"517-519"," Telecommunications and information services","478","307","170","*"
"5171"," Wired telecommunications carriers","21","9","11","*"
"5172"," Wireless telecommunications carriers (except satellite)","30","7","23","*"
"5179"," Other telecommunications","214","95","119","0"
"519"," Other information services","171","164","7","*"
""," Other","42","32","10","*"
"5221"," Depository credit intermediation (banking)","893","349","453","92"
"5222-5239"," Other financial","2,194","438","1,679","77"
"522292"," Real estate credit","837","7","783","47"
"52239"," Other credit intermed","486","*","484","1"
"5231"," Inv. banking","316","114","196","7"
"524"," Insurance","351","267","81","3"
"525"," Funds, trusts, and other financial vehicles","1,214","1,152","52","10"
"53-81"," Services","809","574","233","2"
"531"," Real estate rental and leasing","136","97","39","*"
"5413"," Architectural, engineering, and related services","8","6","2","*"
"5415"," Computer systems design and related services","110","87","22","*"
"5416"," Management, scientific, and technical consulting services","29","20","9","1"
"5511"," Offices of bank and other holding companies","11","7","4","*"
"561"," Administrative and support services","97","71","26","*"
"61-62"," Education, health care, and social services","86","49","36","*"
"71"," Arts, entertainment, and recreation","21","11","10","0"
"72"," Accommodation and food services","132","104","28","*"
""," Other","178","121","56","*"
"92","Government$^{2}$","6,184","*","5,486","697"
""," Industry classification unknown","279","162","95","22"
""," All other industries","178","141","32","5"
""," Total","17,134","6,655","9,547","932"
