issuer_lei,ultimate_parent_lei,parent_country_iso,relationship_type,source
213800K6NZ98HSRVCM15,213800K6NZ98HSRVCM15,GB,SELF,GLEIF-RR+API
213800KB2HCLUSOQ2G49,213800KB2HCLUSOQ2G49,KY,SELF,GLEIF-RR+API
213800KQ1UMKZ1JXJR80,2138009KENVUNWOLPK41,BM,ULTIMATE,GLEIF-RR+API
213800L53ZH5KG593W13,213800L53ZH5KG593W13,NL,SELF,GLEIF-RR+API
213800LJYHCZB5ESUB79,529900O1QCZWP5IWVY66,KY,ULTIMATE,GLEIF-RR+API
213800M1HN85ACHDBK34,213800M1HN85ACHDBK34,KY,SELF,GLEIF-RR+API
213800MAPH9PBACGJG35,213800MAPH9PBACGJG35,GB,SELF,GLEIF-RR+API
213800MD59RZ8CIQB648,213800MD59RZ8CIQB648,KY,SELF,GLEIF-RR+API
213800MP59KHGJSPHE82,213800MP59KHGJSPHE82,KY,SELF,GLEIF-RR+API
213800MRCL5WD4V7W689,213800MRCL5WD4V7W689,KY,SELF,GLEIF-RR+API
213800MSZWCRHL4TG372,213800MSZWCRHL4TG372,JE,SELF,GLEIF-RR+API
213800N7Q1FQC8CEUC74,213800N7Q1FQC8CEUC74,VG,SELF,GLEIF-RR+API
213800NOTG41PZVNNX48,2138009KENVUNWOLPK41,BM,ULTIMATE,GLEIF-RR+API
213800NT341MQ5USBX63,213800NT341MQ5USBX63,US,SELF,GLEIF-RR+API
213800NZKFBQAMMLXC39,213800NZKFBQAMMLXC39,AU,SELF,GLEIF-RR+API
213800NZT1VX6PZ7BT53,213800NZT1VX6PZ7BT53,US,SELF,GLEIF-RR+API
213800O8BDOGHJMTCP32,213800O8BDOGHJMTCP32,GB,SELF,GLEIF-RR+API
213800OMCE8QATH73N15,213800OMCE8QATH73N15,RU,SELF,GLEIF-RR+API
213800OPGOT587IID296,213800OPGOT587IID296,KY,SELF,GLEIF-RR+API
213800OTQMZQ6WHU8M17,213800OTQMZQ6WHU8M17,BM,SELF,GLEIF-RR+API
213800PGTKFEX1PLGP15,213800PGTKFEX1PLGP15,VG,SELF,GLEIF-RR+API
213800PR973USZFINH57,213800PR973USZFINH57,KY,SELF,GLEIF-RR+API
213800QMMVMR3ABCKL62,213800QMMVMR3ABCKL62,CN,SELF,GLEIF-RR+API
213800R42RHUZR883M76,213800R42RHUZR883M76,VG,SELF,GLEIF-RR+API
213800R9N5F2WRMGTR50,5299006GJZSGP78B8S35,KY,ULTIMATE,GLEIF-RR+API
213800R9XDKRM525M609,213800RWVKKIRX1AUH58,AE,ULTIMATE,GLEIF-RR+API
213800RC2PGGMZQG8L67,213800RC2PGGMZQG8L67,VG,SELF,GLEIF-RR+API
213800RH1GJT3SVZ7176,213800RH1GJT3SVZ7176,KY,SELF,GLEIF-RR+API
213800RLFYTJFPXOL592,213800RLFYTJFPXOL592,KY,SELF,GLEIF-RR+API
213800RP74K9SLU23Y87,213800RP74K9SLU23Y87,KY,SELF,GLEIF-RR+API
213800RQBB83K4W6BX61,213800RQBB83K4W6BX61,KY,SELF,GLEIF-RR+API
213800S7P8CY8UE2TH93,3003009ABT0UCWO79Q77,CN,ULTIMATE,GLEIF-RR+API
213800SJEZ2WD4VQFS05,213800SJEZ2WD4VQFS05,KY,SELF,GLEIF-RR+API
213800SKZTSE2L1BII69,213800SKZTSE2L1BII69,KY,SELF,GLEIF-RR+API
213800SL4LTTO1S5AU13,213800SL4LTTO1S5AU13,KY,SELF,GLEIF-RR+API
213800SRFPLD9YS2IA41,213800SRFPLD9YS2IA41,KY,SELF,GLEIF-RR+API
213800SVSEDOQON7JV18,213800SVSEDOQON7JV18,KY,SELF,GLEIF-RR+API
213800SYT3T4AGEVW864,213800SYT3T4AGEVW864,KY,SELF,GLEIF-RR+API
213800T1TZPGQ7HS4Q13,213800T1TZPGQ7HS4Q13,MT,SELF,GLEIF-RR+API
213800T6JMZ84UEF5C40,213800T6JMZ84UEF5C40,KY,SELF,GLEIF-RR+API
213800T879QQXKR2WN54,213800T879QQXKR2WN54,VG,SELF,GLEIF-RR+API
213800TII1NU1C1V3W16,213800TII1NU1C1V3W16,HK,SELF,GLEIF-RR+API
213800TK2L72XOVJG107,213800TK2L72XOVJG107,KY,SELF,GLEIF-RR+API
213800TROG6IWDLH8Z84,213800TROG6IWDLH8Z84,KY,SELF,GLEIF-RR+API
213800TZIK14GMV2YL02,213800TZIK14GMV2YL02,VG,SELF,GLEIF-RR+API
213800UGJNP2A1O21932,213800UGJNP2A1O21932,HK,SELF,GLEIF-RR+API
213800UMTDNYDTAI9X98,213800UMTDNYDTAI9X98,KY,SELF,GLEIF-RR+API
213800USJR8TNU5T6T16,5493000C01ZX7D35SD85,US,ULTIMATE,GLEIF-RR+API
213800UV8KH689JE3785,213800UV8KH689JE3785,BM,SELF,GLEIF-RR+API
213800V47GF24QSFBA63,213800V47GF24QSFBA63,KY,SELF,GLEIF-RR+API
213800V8KRKJ5HBVX643,213800V8KRKJ5HBVX643,GB,SELF,GLEIF-RR+API
213800VJW5J633T5WS61,254900VU7AJZ10ON7N14,BM,ULTIMATE,GLEIF-RR+API
213800VW156IS7SJUL96,213800VW156IS7SJUL96,CN,SELF,GLEIF-RR+API
213800WAVVOPS85N2205,213800QAUUUP6I445N30,GB,ULTIMATE,GLEIF-RR+API
213800WBJC3SQNXZV879,213800WBJC3SQNXZV879,KY,SELF,GLEIF-RR+API
213800WIAH3I2V9VZZ91,213800WIAH3I2V9VZZ91,KY,SELF,GLEIF-RR+API
213800X1ZRKM85U9H438,213800X1ZRKM85U9H438,CN,SELF,GLEIF-RR+API
213800X4W4ZRESFPTQ37,213800X4W4ZRESFPTQ37,KY,SELF,GLEIF-RR+API
213800XC5O6QB2SM1870,213800XC5O6QB2SM1870,KY,SELF,GLEIF-RR+API
213800XCHYNRPAYGXW28,2138009KENVUNWOLPK41,BM,ULTIMATE,GLEIF-RR+API
213800XCOFXF5X7M9P78,213800XCOFXF5X7M9P78,JE,SELF,GLEIF-RR+API
213800XHCLLVOTK3TV79,529900QVUUH13RIZIR85,KY,ULTIMATE,GLEIF-RR+API
213800XPKDKUTQ6UKE25,213800XPKDKUTQ6UKE25,JE,SELF,GLEIF-RR+API
213800XRJKUPOAC5S708,529900QVUUH13RIZIR85,KY,ULTIMATE,GLEIF-RR+API
213800XTZK2GOHQTYK41,254900N4SLUMW4XUYY11,KY,ULTIMATE,GLEIF-RR+API
213800XVU2BADRNDSO76,213800XVU2BADRNDSO76,KY,SELF,GLEIF-RR+API
213800YAKRFVU5XOX138,213800YAKRFVU5XOX138,KY,SELF,GLEIF-RR+API
213800YTVSXYQN17BW16,213800YTVSXYQN17BW16,HK,SELF,GLEIF-RR+API
213800Z99WQEXDF82F09,213800Z99WQEXDF82F09,HK,SELF,GLEIF-RR+API
